Event_ID,VIN,Line,Station,Shift,Supplier_Code_x,Supplier_Code_y,Tool_ID,Temperature,Torque,Pressure,Vibration_mm_s,Energy_kWh,Inspection_Result
M8000,MA1A**********000,TRIM-1,STN-03,B,SUP-029,SUP-173,TL-006,35 C,35 lb-ft,5.2 bar,1.79,4.58,FAIL
M11000,MA1A**********000,TRIM-1,STN-03,NAN,SUP-157,SUP-146,TL-045,85C,Unknown,4.5 bar,8.19,2.8,Unknown
M11000,MA1A**********000,TRIM-1,STN-03,NAN,SUP-157,SUP-146,TL-045,40 C,Unknown,65 psi,5.24,6.18,Unknown
M9000,MA1A**********000,GA-1,STN-04,C,SUP-079,SUP-090,TL-081,95 F,45 Nm,4.5 bar,1.34,7.73,Unknown
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,85C,35 lb-ft,65 psi,5.45,6.5,PASS
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,85C,35 lb-ft,65 psi,5.45,6.5,FAIL
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,85C,35 lb-ft,65 psi,5.45,6.5,PASS
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,85C,35 lb-ft,65 psi,5.45,6.5,FAIL
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,40 C,50 Nm,4.5 bar,7.11,4.22,PASS
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,40 C,50 Nm,4.5 bar,7.11,4.22,FAIL
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,40 C,50 Nm,4.5 bar,7.11,4.22,PASS
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,40 C,50 Nm,4.5 bar,7.11,4.22,FAIL
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,95 F,45 Nm,4.5 bar,4.66,1.12,PASS
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,95 F,45 Nm,4.5 bar,4.66,1.12,FAIL
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,95 F,45 Nm,4.5 bar,4.66,1.12,PASS
M10000,MA1A**********000,PAINT-1,STN-05,NAN,SUP-059,SUP-013,TL-093,95 F,45 Nm,4.5 bar,4.66,1.12,FAIL
M9001,MA1A**********001,PAINT-1,STN-01,NAN,SUP-007,SUP-129,TL-004,104 F,72 lb-ft,72 psi,8.41,2.9,PASS
M9001,MA1A**********001,PAINT-1,STN-01,NAN,SUP-007,SUP-129,TL-004,85C,45 Nm,72 psi,6.27,2.01,PASS
M9001,MA1A**********001,PAINT-1,STN-01,NAN,SUP-007,SUP-129,TL-004,104 F,60Nm,65 psi,5.43,7.82,PASS
M8001,MA1A**********001,GA-1,STN-03,C,SUP-103,SUP-098,TL-058,104 F,72 lb-ft,72 psi,2.13,5.55,FAIL
M8001,MA1A**********001,GA-1,STN-03,C,SUP-103,SUP-098,TL-058,Unknown,35 lb-ft,5.2 bar,0.43,1.08,FAIL
M10001,MA1A**********001,PAINT-1,STN-04,A,SUP-081,SUP-189,TL-061,40 C,35 lb-ft,65 psi,6.55,4.72,FAIL
M10001,MA1A**********001,PAINT-1,STN-04,A,SUP-081,SUP-189,TL-061,40 C,35 lb-ft,65 psi,6.55,4.72,PASS
M11001,MA1A**********001,TRIM-1,STN-04,B,SUP-011,SUP-001,TL-068,Unknown,35 lb-ft,5.2 bar,7.16,0.75,Unknown
M7001,MA1A**********001,GA-1,STN-05,NAN,SUP-140,SUP-130,TL-076,40 C,50 Nm,65 psi,5.51,5.48,PASS
M7001,MA1A**********001,GA-1,STN-05,NAN,SUP-140,SUP-130,TL-076,85C,35 lb-ft,5.2 bar,2.51,0.96,PASS
M7002,MA1A**********002,GA-1,STN-01,A,SUP-060,SUP-095,TL-078,95 F,50 Nm,72 psi,8.25,1.29,Unknown
M8002,MA1A**********002,PAINT-1,STN-01,B,SUP-165,SUP-019,TL-075,104 F,60Nm,5.2 bar,7.49,5.48,FAIL
