VIN,Total_Energy_kWh,Vehicles_Built,Energy_per_Vehicle_kWh
MA1A**********000,33.13,1,33.13
MA1A**********001,31.27,1,31.27
MA1A**********002,26.32,1,26.32
MA1A**********003,42.269999999999996,1,42.27
MA1A**********004,29.68,1,29.68
MA1A**********005,43.0,1,43.0
MA1A**********006,55.07,1,55.07
MA1A**********007,49.53,1,49.53
MA1A**********008,45.39,1,45.39
MA1A**********009,49.52,1,49.52
MA1A**********010,33.68,1,33.68
MA1A**********011,54.58,1,54.58
MA1A**********012,36.99,1,36.99
MA1A**********013,65.42,1,65.42
MA1A**********014,46.0,1,46.0
MA1A**********015,39.17,1,39.17
MA1A**********016,43.94,1,43.94
MA1A**********017,49.25,1,49.25
MA1A**********018,22.25,1,22.25
MA1A**********019,20.79,1,20.79
MA1A**********020,40.59,1,40.59
MA1A**********021,42.58,1,42.58
MA1A**********022,26.73,1,26.73
MA1A**********023,56.49,1,56.49
MA1A**********024,37.48,1,37.48
MA1A**********025,30.72,1,30.72
MA1A**********026,39.57,1,39.57
MA1A**********027,72.44,1,72.44
MA1A**********028,48.97,1,48.97
MA1A**********029,41.28,1,41.28
MA1A**********030,32.08,1,32.08
MA1A**********031,30.849999999999998,1,30.85
MA1A**********032,22.73,1,22.73
MA1A**********033,47.26,1,47.26
MA1A**********034,34.99,1,34.99
MA1A**********035,39.95,1,39.95
MA1A**********036,37.14,1,37.14
MA1A**********037,51.9,1,51.9
MA1A**********038,47.21,1,47.21
MA1A**********039,41.39,1,41.39
MA1A**********040,34.3,1,34.3
MA1A**********041,47.11,1,47.11
MA1A**********042,59.95,1,59.95
MA1A**********043,35.07,1,35.07
MA1A**********044,50.7,1,50.7
MA1A**********045,33.379999999999995,1,33.38
MA1A**********046,70.5,1,70.5
MA1A**********047,52.75,1,52.75
MA1A**********048,34.04,1,34.04
MA1A**********049,72.78,1,72.78
MA1A**********050,19.34,1,19.34
MA1A**********051,35.07,1,35.07
MA1A**********052,29.82,1,29.82
MA1A**********053,27.700000000000003,1,27.7
MA1A**********054,19.72,1,19.72
MA1A**********055,39.44,1,39.44
MA1A**********056,29.82,1,29.82
MA1A**********057,48.53,1,48.53
MA1A**********058,15.36,1,15.36
MA1A**********059,28.64,1,28.64
MA1A**********060,45.79,1,45.79
MA1A**********061,24.79,1,24.79
MA1A**********062,66.75,1,66.75
MA1A**********063,47.29,1,47.29
MA1A**********064,74.12,1,74.12
MA1A**********065,34.66,1,34.66
MA1A**********066,34.95,1,34.95
MA1A**********067,11.06,1,11.06
MA1A**********068,39.28,1,39.28
MA1A**********069,43.2,1,43.2
MA1A**********070,23.950000000000003,1,23.95
MA1A**********071,27.28,1,27.28
MA1A**********072,42.55,1,42.55
MA1A**********073,40.6,1,40.6
MA1A**********074,19.740000000000002,1,19.74
MA1A**********075,26.19,1,26.19
MA1A**********076,32.47,1,32.47
MA1A**********077,53.629999999999995,1,53.63
MA1A**********078,40.47,1,40.47
MA1A**********079,20.880000000000003,1,20.88
MA1A**********080,52.03,1,52.03
MA1A**********081,46.84,1,46.84
MA1A**********082,39.79,1,39.79
MA1A**********083,24.21,1,24.21
MA1A**********084,36.55,1,36.55
MA1A**********085,53.26,1,53.26
MA1A**********086,57.46,1,57.46
MA1A**********087,16.54,1,16.54
MA1A**********088,22.94,1,22.94
MA1A**********089,27.14,1,27.14
MA1A**********090,18.38,1,18.38
MA1A**********091,42.16,1,42.16
MA1A**********092,27.14,1,27.14
MA1A**********093,47.12,1,47.12
MA1A**********094,47.07,1,47.07
MA1A**********095,57.63,1,57.63
MA1A**********096,49.36,1,49.36
MA1A**********097,57.17,1,57.17
MA1A**********098,31.15,1,31.15
MA1A**********099,31.18,1,31.18
MA1A**********100,36.26,1,36.26
MA1A**********101,35.62,1,35.62
MA1A**********102,45.64,1,45.64
MA1A**********103,75.48,1,75.48
MA1A**********104,26.56,1,26.56
MA1A**********105,19.53,1,19.53
MA1A**********106,27.23,1,27.23
MA1A**********107,30.39,1,30.39
MA1A**********108,48.97,1,48.97
MA1A**********109,67.03999999999999,1,67.04
MA1A**********110,18.37,1,18.37
MA1A**********111,43.14,1,43.14
MA1A**********112,65.45,1,65.45
MA1A**********113,33.85,1,33.85
MA1A**********114,44.93,1,44.93
MA1A**********115,39.73,1,39.73
MA1A**********116,21.83,1,21.83
MA1A**********117,47.37,1,47.37
MA1A**********118,66.22,1,66.22
MA1A**********119,52.49,1,52.49
MA1A**********120,5.24,1,5.24
MA1A**********121,68.89,1,68.89
MA1A**********122,45.06,1,45.06
MA1A**********123,37.5,1,37.5
MA1A**********124,56.97,1,56.97
MA1A**********125,28.240000000000002,1,28.24
MA1A**********126,43.21,1,43.21
MA1A**********127,54.18,1,54.18
MA1A**********128,52.3,1,52.3
MA1A**********129,39.97,1,39.97
MA1A**********130,40.64,1,40.64
MA1A**********131,37.0,1,37.0
MA1A**********132,57.13,1,57.13
MA1A**********133,31.200000000000003,1,31.2
MA1A**********134,22.42,1,22.42
MA1A**********135,44.32,1,44.32
MA1A**********136,64.74,1,64.74
MA1A**********137,47.45,1,47.45
MA1A**********138,54.54,1,54.54
MA1A**********139,46.04,1,46.04
MA1A**********140,31.72,1,31.72
MA1A**********141,39.730000000000004,1,39.73
MA1A**********142,53.89,1,53.89
MA1A**********143,45.019999999999996,1,45.02
MA1A**********144,40.92,1,40.92
MA1A**********145,53.1,1,53.1
MA1A**********146,29.45,1,29.45
MA1A**********147,51.53,1,51.53
MA1A**********148,53.230000000000004,1,53.23
MA1A**********149,47.17,1,47.17
MA1A**********150,45.41,1,45.41
MA1A**********151,35.99,1,35.99
MA1A**********152,63.6,1,63.6
MA1A**********153,50.47,1,50.47
MA1A**********154,53.43,1,53.43
MA1A**********155,43.2,1,43.2
MA1A**********156,67.25,1,67.25
MA1A**********157,68.95,1,68.95
MA1A**********158,59.05,1,59.05
MA1A**********159,94.05,1,94.05
MA1A**********160,39.83,1,39.83
MA1A**********161,27.73,1,27.73
