Line,Station,Average_Cycle_Time,Maximum_Cycle_Time,Vehicles_Processed,Balance_Efficiency_%
GA-1,STN-01,34.38333333333333,155.0,180,5.82
GA-1,STN-02,41.78082191780822,298.0,146,4.79
GA-1,STN-03,15.423940149625935,85.0,401,12.97
GA-1,STN-04,33.0,170.0,189,6.06
GA-1,STN-05,18.145772594752188,117.0,343,11.02
GA-2,STN-01,33.91256830601093,226.0,183,5.9
GA-2,STN-02,34.11538461538461,178.0,182,5.86
GA-2,STN-03,17.41899441340782,85.0,358,11.48
GA-2,STN-04,30.45049504950495,141.0,202,6.57
GA-2,STN-05,17.814285714285713,86.0,350,11.23
PAINT-1,STN-01,41.91891891891892,232.0,148,4.77
PAINT-1,STN-02,36.976190476190474,200.0,168,5.41
PAINT-1,STN-03,18.137426900584796,135.0,342,11.03
PAINT-1,STN-04,36.05813953488372,190.0,172,5.55
PAINT-1,STN-05,18.865853658536587,102.0,328,10.6
TRIM-1,STN-01,34.47191011235955,200.0,178,5.8
TRIM-1,STN-02,31.353535353535353,227.0,198,6.38
TRIM-1,STN-03,17.275,102.0,360,11.58
TRIM-1,STN-04,31.333333333333332,175.0,198,6.38
TRIM-1,STN-05,17.53954802259887,94.0,354,11.4
