Defect_Code,Defect,Severity,Occurrence,Detection,RPN,Risk_Level
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,NONE,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REPAIR,5.0,10.0,6,300.0,High
NONE,NONE,5.0,10.0,6,300.0,High
NONE,NONE,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REPAIR,5.0,10.0,6,300.0,High
NONE,NONE,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,NONE,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,REPAIR,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,NONE,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REPAIR,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REPAIR,5.0,10.0,6,300.0,High
NONE,REPAIR,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,NONE,5.0,10.0,6,300.0,High
NONE,REJECT,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
NONE,OK,5.0,10.0,6,300.0,High
