Supplier_Code,Supplier_Name,PPM_Defects,On_Time_Delivery_%,Performance
SUP-020,Auto Supplier 20,11,88,Poor
SUP-126,Auto Supplier 126,12,92,Average
SUP-198,Auto Supplier 198,18,99,Excellent
SUP-166,Auto Supplier 166,22,94,Average
SUP-161,Auto Supplier 161,27,99,Excellent
SUP-069,Auto Supplier 69,31,94,Average
SUP-171,Auto Supplier 171,31,87,Poor
SUP-172,Auto Supplier 172,32,91,Average
SUP-043,Auto Supplier 43,41,97,Good
SUP-037,Auto Supplier 37,41,92,Average
SUP-127,Auto Supplier 127,44,92,Average
SUP-006,Auto Supplier 6,48,98,Excellent
SUP-001,Auto Supplier 1,51,93,Average
SUP-044,Auto Supplier 44,51,93,Average
SUP-080,Auto Supplier 80,52,86,Poor
SUP-131,Auto Supplier 131,53,97,Good
SUP-071,Auto Supplier 71,60,98,Good
SUP-160,Auto Supplier 160,62,89,Poor
SUP-065,Auto Supplier 65,62,86,Poor
SUP-197,Auto Supplier 197,65,98,Good
SUP-188,Auto Supplier 188,71,97,Good
SUP-148,Auto Supplier 148,74,92,Average
SUP-049,Auto Supplier 49,77,85,Poor
SUP-091,Auto Supplier 91,81,85,Poor
SUP-015,Auto Supplier 15,83,97,Good
SUP-076,Auto Supplier 76,83,97,Good
SUP-167,Auto Supplier 167,92,97,Good
SUP-177,Auto Supplier 177,92,87,Poor
SUP-025,Auto Supplier 25,99,88,Poor
SUP-063,Auto Supplier 63,107,98,Average
SUP-088,Auto Supplier 88,109,96,Average
SUP-193,Auto Supplier 193,113,91,Average
SUP-143,Auto Supplier 143,114,97,Average
SUP-101,Auto Supplier 101,114,95,Average
SUP-186,Auto Supplier 186,116,92,Average
SUP-052,Auto Supplier 52,116,85,Poor
SUP-045,Auto Supplier 45,122,95,Average
SUP-105,Auto Supplier 105,124,90,Average
SUP-104,Auto Supplier 104,126,99,Average
SUP-165,Auto Supplier 165,126,91,Average
SUP-110,Auto Supplier 110,127,98,Average
SUP-137,Auto Supplier 137,128,94,Average
SUP-107,Auto Supplier 107,128,89,Poor
SUP-169,Auto Supplier 169,128,89,Poor
SUP-032,Auto Supplier 32,129,98,Average
SUP-057,Auto Supplier 57,130,94,Average
SUP-081,Auto Supplier 81,132,98,Average
SUP-013,Auto Supplier 13,137,85,Poor
SUP-118,Auto Supplier 118,138,91,Average
SUP-095,Auto Supplier 95,141,99,Average
SUP-077,Auto Supplier 77,146,88,Poor
SUP-055,Auto Supplier 55,149,93,Average
SUP-181,Auto Supplier 181,150,94,Average
SUP-073,Auto Supplier 73,155,93,Average
SUP-141,Auto Supplier 141,155,88,Poor
SUP-014,Auto Supplier 14,160,98,Average
SUP-084,Auto Supplier 84,164,86,Poor
SUP-109,Auto Supplier 109,165,97,Average
SUP-010,Auto Supplier 10,172,95,Average
SUP-018,Auto Supplier 18,172,94,Average
SUP-123,Auto Supplier 123,172,93,Average
SUP-113,Auto Supplier 113,172,92,Average
SUP-031,Auto Supplier 31,174,87,Poor
SUP-150,Auto Supplier 150,175,96,Average
SUP-022,Auto Supplier 22,178,91,Average
SUP-154,Auto Supplier 154,179,86,Poor
SUP-070,Auto Supplier 70,182,90,Average
SUP-145,Auto Supplier 145,184,91,Average
SUP-128,Auto Supplier 128,187,97,Average
SUP-060,Auto Supplier 60,188,98,Average
SUP-008,Auto Supplier 8,192,93,Average
SUP-083,Auto Supplier 83,192,93,Average
SUP-067,Auto Supplier 67,197,89,Poor
SUP-074,Auto Supplier 74,198,98,Average
SUP-168,Auto Supplier 168,203,99,Average
SUP-029,Auto Supplier 29,205,93,Average
SUP-027,Auto Supplier 27,210,89,Poor
SUP-175,Auto Supplier 175,215,91,Average
SUP-191,Auto Supplier 191,220,96,Average
SUP-187,Auto Supplier 187,220,92,Average
SUP-009,Auto Supplier 9,220,88,Poor
SUP-116,Auto Supplier 116,223,85,Poor
SUP-114,Auto Supplier 114,224,100,Average
SUP-115,Auto Supplier 115,230,96,Average
SUP-140,Auto Supplier 140,241,86,Poor
SUP-085,Auto Supplier 85,244,98,Average
SUP-124,Auto Supplier 124,245,89,Poor
SUP-092,Auto Supplier 92,252,93,Average
SUP-108,Auto Supplier 108,257,100,Average
SUP-002,Auto Supplier 2,257,87,Poor
SUP-155,Auto Supplier 155,259,97,Average
SUP-125,Auto Supplier 125,260,99,Average
SUP-023,Auto Supplier 23,262,92,Average
