Supplier_Code,Supplier_Name,Part_Number,VIN,Claim_ID,Failure_Code,Warranty_Cost,Claim_Status
,, eng-1001 ,XX1 2 3 4,,,,
SUP-140,Auto Supplier 140,ENG-1379,MA1AB100000000001,,,,
SUP-060,Auto Supplier 60,ENG-1111,MA1AB100000000002,,,,
SUP-180,Auto Supplier 180,ENG-1332,MA1AB100000000003,,,,
SUP-002,Auto Supplier 2,ENG-1445,MA1AB100000000004,,,,
SUP-196,Auto Supplier 196,ENG-1110,MA1AB100000000005,,,,
SUP-089,Auto Supplier 89,ENG-1433,MA1AB100000000006,,,,
SUP-142,Auto Supplier 142,ENG-1040,MA1AB100000000007,,,,
SUP-012,Auto Supplier 12,ENG-1035,MA1AB100000000008,,,,
SUP-098,Auto Supplier 98,ENG-1051,MA1AB100000000009,,,,
SUP-172,Auto Supplier 172,ENG-1107,MA1AB100000000010,,,,
SUP-063,Auto Supplier 63,ENG-1373,MA1AB100000000011,,,,
SUP-197,Auto Supplier 197,ENG-1166,MA1AB100000000012,,,,
SUP-055,Auto Supplier 55,ENG-1033,MA1AB100000000013,,,,
SUP-165,Auto Supplier 165,ENG-1452,MA1AB100000000014,,,,
SUP-138,Auto Supplier 138,ENG-1287,MA1AB100000000015,,,,
SUP-036,Auto Supplier 36,ENG-1112,MA1AB100000000016,WC1016,F016,640.0,Closed
SUP-041,Auto Supplier 41,ENG-1321,MA1AB100000000017,WC1017,F017,980.0,Closed
SUP-136,Auto Supplier 136,ENG-1239,MA1AB100000000018,WC1018,F018,270.0,Closed
SUP-138,Auto Supplier 138,ENG-1453,MA1AB100000000019,WC1019,F019,510.0,Closed
SUP-117,Auto Supplier 117,ENG-1080,MA1AB100000000020,WC1020,F020,760.0,Closed
SUP-028,Auto Supplier 28,ENG-1467,MA1AB100000000021,WC1021,F021,890.0,Closed
SUP-139,Auto Supplier 139,ENG-1082,MA1AB100000000022,WC1022,F022,120.0,Closed
SUP-093,Auto Supplier 93,ENG-1475,MA1AB100000000023,WC1023,F023,210.0,Closed
SUP-125,Auto Supplier 125,ENG-1374,MA1AB100000000024,WC1024,F024,430.0,Closed
SUP-068,Auto Supplier 68,ENG-1084,MA1AB100000000025,WC1025,F025,680.0,Closed
SUP-103,Auto Supplier 103,ENG-1159,MA1AB100000000026,WC1026,F026,1150.0,Closed
SUP-087,Auto Supplier 87,ENG-1032,MA1AB100000000027,WC1027,F027,190.0,Closed
SUP-182,Auto Supplier 182,ENG-1036,MA1AB100000000028,WC1028,F028,240.0,Closed
SUP-061,Auto Supplier 61,ENG-1263,MA1AB100000000029,WC1029,F029,720.0,Closed
SUP-147,Auto Supplier 147,ENG-1478,MA1AB100000000030,WC1030,F030,560.0,Closed
SUP-025,Auto Supplier 25,ENG-1048,MA1AB100000000031,WC1031,F031,470.0,Closed
SUP-014,Auto Supplier 14,ENG-1373,MA1AB100000000032,WC1032,F032,1780.0,In Progress
SUP-028,Auto Supplier 28,ENG-1441,MA1AB100000000033,WC1033,F033,950.0,Closed
SUP-047,Auto Supplier 47,ENG-1216,MA1AB100000000034,WC1034,F034,620.0,Closed
SUP-141,Auto Supplier 141,ENG-1441,MA1AB100000000035,WC1035,F035,180.0,Closed
SUP-125,Auto Supplier 125,ENG-1208,MA1AB100000000036,WC1036,F036,810.0,Closed
SUP-100,Auto Supplier 100,ENG-1001,MA1AB100000000037,WC1037,F037,220.0,Closed
SUP-188,Auto Supplier 188,ENG-1490,MA1AB100000000038,WC1038,F038,1040.0,Open
SUP-015,Auto Supplier 15,ENG-1111,MA1AB100000000039,WC1039,F039,920.0,Closed
SUP-150,Auto Supplier 150,ENG-1025,MA1AB100000000040,WC1040,F040,670.0,Closed
SUP-018,Auto Supplier 18,ENG-1095,MA1AB100000000041,WC1041,F041,140.0,Closed
SUP-149,Auto Supplier 149,ENG-1126,MA1AB100000000042,WC1042,F042,1380.0,In Progress
SUP-172,Auto Supplier 172,ENG-1104,MA1AB100000000043,WC1043,F043,260.0,Closed
SUP-077,Auto Supplier 77,ENG-1330,MA1AB100000000044,WC1044,F044,390.0,Closed
SUP-026,Auto Supplier 26,ENG-1288,MA1AB100000000045,WC1045,F045,320.0,Closed
SUP-090,Auto Supplier 90,ENG-1477,MA1AB100000000046,WC1046,F046,860.0,Closed
SUP-140,Auto Supplier 140,ENG-1426,MA1AB100000000047,WC1047,F047,730.0,Closed
SUP-035,Auto Supplier 35,ENG-1053,MA1AB100000000048,WC1048,F048,980.0,Closed
SUP-155,Auto Supplier 155,ENG-1144,MA1AB100000000049,WC1049,F049,210.0,Closed
SUP-065,Auto Supplier 65,ENG-1250,MA1AB100000000050,WC1050,F050,350.0,Closed
SUP-198,Auto Supplier 198,ENG-1170,MA1AB100000000051,WC1051,F051,1290.0,Closed
SUP-110,Auto Supplier 110,ENG-1361,MA1AB100000000052,WC1052,F052,180.0,Closed
SUP-095,Auto Supplier 95,ENG-1018,MA1AB100000000053,WC1053,F053,540.0,Closed
SUP-094,Auto Supplier 94,ENG-1157,MA1AB100000000054,WC1054,F054,410.0,Closed
SUP-091,Auto Supplier 91,ENG-1052,MA1AB100000000055,WC1055,F055,1540.0,In Progress
SUP-046,Auto Supplier 46,ENG-1415,MA1AB100000000056,WC1056,F056,980.0,Closed
SUP-106,Auto Supplier 106,ENG-1476,MA1AB100000000057,WC1057,F057,1120.0,Closed
SUP-010,Auto Supplier 10,ENG-1446,MA1AB100000000058,WC1058,F058,690.0,Closed
SUP-059,Auto Supplier 59,ENG-1420,MA1AB100000000059,WC1059,F059,420.0,Closed
SUP-018,Auto Supplier 18,ENG-1442,MA1AB100000000060,WC1060,F060,310.0,Closed
SUP-067,Auto Supplier 67,ENG-1059,MA1AB100000000061,WC1061,F061,1650.0,In Progress
SUP-089,Auto Supplier 89,ENG-1222,MA1AB100000000062,WC1062,F062,740.0,Closed
SUP-182,Auto Supplier 182,ENG-1022,MA1AB100000000063,WC1063,F063,180.0,Closed
SUP-171,Auto Supplier 171,ENG-1485,MA1AB100000000064,WC1064,F064,290.0,Closed
SUP-077,Auto Supplier 77,ENG-1460,MA1AB100000000065,WC1065,F065,830.0,Closed
SUP-142,Auto Supplier 142,ENG-1151,MA1AB100000000066,WC1066,F066,620.0,Closed
SUP-045,Auto Supplier 45,ENG-1383,MA1AB100000000067,WC1067,F067,160.0,Closed
SUP-054,Auto Supplier 54,ENG-1146,MA1AB100000000068,WC1068,F068,210.0,Closed
SUP-055,Auto Supplier 55,ENG-1345,MA1AB100000000069,WC1069,F069,560.0,Closed
SUP-170,Auto Supplier 170,ENG-1263,MA1AB100000000070,WC1070,F070,1430.0,Closed
SUP-051,Auto Supplier 51,ENG-1412,MA1AB100000000071,WC1071,F071,380.0,Closed
SUP-197,Auto Supplier 197,ENG-1435,MA1AB100000000072,WC1072,F072,760.0,Closed
SUP-099,Auto Supplier 99,ENG-1356,MA1AB100000000073,WC1073,F073,150.0,Closed
SUP-198,Auto Supplier 198,ENG-1440,MA1AB100000000074,WC1074,F074,970.0,Closed
SUP-179,Auto Supplier 179,ENG-1490,MA1AB100000000075,WC1075,F075,1380.0,In Progress
SUP-117,Auto Supplier 117,ENG-1062,MA1AB100000000076,WC1076,F076,240.0,Closed
SUP-141,Auto Supplier 141,ENG-1464,MA1AB100000000077,WC1077,F077,340.0,Closed
SUP-164,Auto Supplier 164,ENG-1126,MA1AB100000000078,WC1078,F078,260.0,Closed
SUP-020,Auto Supplier 20,ENG-1225,MA1AB100000000079,WC1079,F079,1290.0,Open
SUP-036,Auto Supplier 36,ENG-1041,MA1AB100000000080,WC1080,F080,890.0,Closed
SUP-017,Auto Supplier 17,ENG-1109,MA1AB100000000081,WC1081,F081,450.0,Closed
SUP-053,Auto Supplier 53,ENG-1031,MA1AB100000000082,WC1082,F082,1560.0,Closed
SUP-091,Auto Supplier 91,ENG-1003,MA1AB100000000083,WC1083,F083,110.0,Closed
SUP-070,Auto Supplier 70,ENG-1112,MA1AB100000000084,WC1084,F084,230.0,Closed
SUP-104,Auto Supplier 104,ENG-1347,MA1AB100000000085,WC1085,F085,1180.0,Closed
SUP-145,Auto Supplier 145,ENG-1303,MA1AB100000000086,WC1086,F086,690.0,Closed
SUP-067,Auto Supplier 67,ENG-1025,MA1AB100000000087,WC1087,F087,120.0,Closed
SUP-098,Auto Supplier 98,ENG-1389,MA1AB100000000088,WC1088,F088,410.0,Closed
SUP-192,Auto Supplier 192,ENG-1009,MA1AB100000000089,WC1089,F089,860.0,Closed
SUP-167,Auto Supplier 167,ENG-1490,MA1AB100000000090,WC1090,F090,530.0,Closed
SUP-160,Auto Supplier 160,ENG-1010,MA1AB100000000091,WC1091,F091,310.0,Closed
SUP-056,Auto Supplier 56,ENG-1485,MA1AB100000000092,WC1092,F092,980.0,Closed
SUP-192,Auto Supplier 192,ENG-1310,MA1AB100000000093,WC1093,F093,760.0,Closed
SUP-080,Auto Supplier 80,ENG-1013,MA1AB100000000094,WC1094,F094,670.0,Closed
SUP-177,Auto Supplier 177,ENG-1303,MA1AB100000000095,WC1095,F095,1190.0,In Progress
SUP-011,Auto Supplier 11,ENG-1289,MA1AB100000000096,WC1096,F096,940.0,Closed
SUP-166,Auto Supplier 166,ENG-1259,MA1AB100000000097,WC1097,F097,580.0,Closed
SUP-093,Auto Supplier 93,ENG-1491,MA1AB100000000098,WC1098,F098,720.0,Closed
SUP-167,Auto Supplier 167,ENG-1267,MA1AB100000000099,WC1099,F099,460.0,Closed
SUP-152,Auto Supplier 152,ENG-1374,MA1AB100000000100,WC1100,F100,340.0,Closed
SUP-193,Auto Supplier 193,ENG-1124,MA1AB100000000101,WC1101,F101,280.0,Closed
SUP-084,Auto Supplier 84,ENG-1435,MA1AB100000000102,WC1102,F102,1120.0,Closed
SUP-153,Auto Supplier 153,ENG-1143,MA1AB100000000103,WC1103,F103,390.0,Closed
SUP-185,Auto Supplier 185,ENG-1123,MA1AB100000000104,WC1104,F104,520.0,Closed
SUP-126,Auto Supplier 126,ENG-1364,MA1AB100000000105,WC1105,F105,1380.0,In Progress
SUP-063,Auto Supplier 63,ENG-1354,MA1AB100000000106,WC1106,F106,260.0,Closed
SUP-141,Auto Supplier 141,ENG-1381,MA1AB100000000107,WC1107,F107,890.0,Closed
SUP-031,Auto Supplier 31,ENG-1118,MA1AB100000000108,WC1108,F108,430.0,Closed
SUP-190,Auto Supplier 190,ENG-1110,MA1AB100000000109,WC1109,F109,210.0,Closed
SUP-093,Auto Supplier 93,ENG-1116,MA1AB100000000110,WC1110,F110,1640.0,Closed
SUP-014,Auto Supplier 14,ENG-1023,MA1AB100000000111,WC1111,F111,1850.0,Open
SUP-004,Auto Supplier 4,ENG-1446,MA1AB100000000112,WC1112,F112,670.0,Closed
SUP-014,Auto Supplier 14,ENG-1094,MA1AB100000000113,WC1113,F113,190.0,Closed
SUP-148,Auto Supplier 148,ENG-1037,MA1AB100000000114,WC1114,F114,980.0,Closed
SUP-031,Auto Supplier 31,ENG-1127,MA1AB100000000115,WC1115,F115,2150.0,In Progress
SUP-098,Auto Supplier 98,ENG-1267,MA1AB100000000116,,,,
SUP-159,Auto Supplier 159,ENG-1291,MA1AB100000000117,,,,
SUP-021,Auto Supplier 21,ENG-1338,MA1AB100000000118,,,,
SUP-105,Auto Supplier 105,ENG-1001,MA1AB100000000119,,,,
SUP-181,Auto Supplier 181,ENG-1147,MA1AB100000000120,,,,
SUP-161,Auto Supplier 161,ENG-1403,MA1AB100000000121,,,,
SUP-069,Auto Supplier 69,ENG-1076,MA1AB100000000122,,,,
SUP-146,Auto Supplier 146,ENG-1383,MA1AB100000000123,,,,
SUP-070,Auto Supplier 70,ENG-1206,MA1AB100000000124,,,,
SUP-111,Auto Supplier 111,ENG-1020,MA1AB100000000125,,,,
SUP-173,Auto Supplier 173,ENG-1492,MA1AB100000000126,,,,
SUP-196,Auto Supplier 196,ENG-1020,MA1AB100000000127,,,,
SUP-163,Auto Supplier 163,ENG-1223,MA1AB100000000128,,,,
SUP-172,Auto Supplier 172,ENG-1164,MA1AB100000000129,,,,
SUP-103,Auto Supplier 103,ENG-1339,MA1AB100000000130,,,,
SUP-030,Auto Supplier 30,ENG-1165,MA1AB100000000131,,,,
SUP-049,Auto Supplier 49,ENG-1027,MA1AB100000000132,,,,
SUP-053,Auto Supplier 53,ENG-1026,MA1AB100000000133,,,,
SUP-032,Auto Supplier 32,ENG-1248,MA1AB100000000134,,,,
SUP-004,Auto Supplier 4,ENG-1282,MA1AB100000000135,,,,
SUP-031,Auto Supplier 31,ENG-1484,MA1AB100000000136,,,,
SUP-124,Auto Supplier 124,ENG-1427,MA1AB100000000137,,,,
SUP-154,Auto Supplier 154,ENG-1097,MA1AB100000000138,,,,
SUP-107,Auto Supplier 107,ENG-1404,MA1AB100000000139,,,,
SUP-151,Auto Supplier 151,ENG-1152,MA1AB100000000140,,,,
SUP-089,Auto Supplier 89,ENG-1247,MA1AB100000000141,,,,
SUP-179,Auto Supplier 179,ENG-1096,MA1AB100000000142,,,,
SUP-191,Auto Supplier 191,ENG-1162,MA1AB100000000143,,,,
SUP-010,Auto Supplier 10,ENG-1493,MA1AB100000000144,,,,
SUP-135,Auto Supplier 135, eng-1001 ,MA1AB100000000145,,,,
SUP-068,Auto Supplier 68,ENG-1240,MA1AB100000000146,,,,
SUP-173,Auto Supplier 173,ENG-1168,MA1AB100000000147,,,,
SUP-010,Auto Supplier 10,ENG-1277,MA1AB100000000148,,,,
SUP-195,Auto Supplier 195,ENG-1050,MA1AB100000000149,,,,
SUP-084,Auto Supplier 84,ENG-1023,MA1AB100000000150,,,,
SUP-136,Auto Supplier 136,ENG-1125,MA1AB100000000151,,,,
SUP-098,Auto Supplier 98,ENG-1312,MA1AB100000000152,,,,
SUP-118,Auto Supplier 118,ENG-1130,MA1AB100000000153,,,,
SUP-041,Auto Supplier 41,ENG-1279,MA1AB100000000154,,,,
SUP-109,Auto Supplier 109,ENG-1492,MA1AB100000000155,,,,
SUP-028,Auto Supplier 28,ENG-1247,MA1AB100000000156,,,,
SUP-006,Auto Supplier 6,ENG-1151,MA1AB100000000157,,,,
SUP-128,Auto Supplier 128,ENG-1381,MA1AB100000000158,,,,
SUP-049,Auto Supplier 49,ENG-1325,MA1AB100000000159,,,,
SUP-011,Auto Supplier 11,ENG-1330,MA1AB100000000160,,,,
SUP-024,Auto Supplier 24,ENG-1067,MA1AB100000000161,,,,
SUP-139,Auto Supplier 139,ENG-1402,MA1AB100000000162,,,,
SUP-124,Auto Supplier 124,ENG-1483,MA1AB100000000163,,,,
SUP-194,Auto Supplier 194,ENG-1072,MA1AB100000000164,,,,
SUP-102,Auto Supplier 102,ENG-1404,MA1AB100000000165,,,,
SUP-173,Auto Supplier 173,ENG-1383,MA1AB100000000166,,,,
SUP-060,Auto Supplier 60,ENG-1345,MA1AB100000000167,,,,
SUP-163,Auto Supplier 163,ENG-1032,MA1AB100000000168,,,,
SUP-012,Auto Supplier 12,ENG-1071,MA1AB100000000169,,,,
SUP-138,Auto Supplier 138,ENG-1454,MA1AB100000000170,,,,
SUP-187,Auto Supplier 187,ENG-1380,MA1AB100000000171,,,,
SUP-177,Auto Supplier 177,ENG-1016,MA1AB100000000172,,,,
SUP-026,Auto Supplier 26,ENG-1185,MA1AB100000000173,,,,
SUP-032,Auto Supplier 32,ENG-1097,MA1AB100000000174,,,,
SUP-086,Auto Supplier 86,ENG-1402,MA1AB100000000175,,,,
SUP-060,Auto Supplier 60,ENG-1110,MA1AB100000000176,,,,
SUP-038,Auto Supplier 38,ENG-1439,MA1AB100000000177,,,,
SUP-007,Auto Supplier 7,ENG-1443,MA1AB100000000178,,,,
SUP-068,Auto Supplier 68,ENG-1089,MA1AB100000000179,,,,
SUP-122,Auto Supplier 122,ENG-1032,MA1AB100000000180,,,,
SUP-057,Auto Supplier 57,ENG-1257,MA1AB100000000181,,,,
SUP-103,Auto Supplier 103,ENG-1245,MA1AB100000000182,,,,
SUP-021,Auto Supplier 21,ENG-1460,MA1AB100000000183,,,,
SUP-163,Auto Supplier 163,ENG-1319,MA1AB100000000184,,,,
SUP-155,Auto Supplier 155,ENG-1258,MA1AB100000000185,,,,
SUP-059,Auto Supplier 59,ENG-1231,MA1AB100000000186,,,,
SUP-081,Auto Supplier 81,ENG-1048,MA1AB100000000187,,,,
SUP-122,Auto Supplier 122,ENG-1472,MA1AB100000000188,,,,
SUP-190,Auto Supplier 190,ENG-1381,MA1AB100000000189,,,,
SUP-106,Auto Supplier 106,ENG-1062,MA1AB100000000190,,,,
SUP-080,Auto Supplier 80,ENG-1307,MA1AB100000000191,,,,
SUP-028,Auto Supplier 28,ENG-1433,MA1AB100000000192,,,,
SUP-110,Auto Supplier 110,ENG-1115,MA1AB100000000193,,,,
SUP-070,Auto Supplier 70,ENG-1092,MA1AB100000000194,,,,
SUP-145,Auto Supplier 145,ENG-1073,MA1AB100000000195,,,,
SUP-136,Auto Supplier 136,ENG-1382,MA1AB100000000196,,,,
SUP-080,Auto Supplier 80,ENG-1189,MA1AB100000000197,,,,
SUP-159,Auto Supplier 159,ENG-1386,MA1AB100000000198,,,,
SUP-125,Auto Supplier 125,ENG-1217,MA1AB100000000199,,,,
SUP-029,Auto Supplier 29,ENG-1220,MA1AB100000000200,,,,
SUP-102,Auto Supplier 102,ENG-1112,MA1AB100000000201,,,,
SUP-196,Auto Supplier 196,ENG-1070,MA1AB100000000202,,,,
SUP-111,Auto Supplier 111,ENG-1382,MA1AB100000000203,,,,
SUP-172,Auto Supplier 172,ENG-1286,MA1AB100000000204,,,,
SUP-118,Auto Supplier 118,ENG-1009,MA1AB100000000205,,,,
SUP-107,Auto Supplier 107,ENG-1327,MA1AB100000000206,,,,
SUP-159,Auto Supplier 159,ENG-1410,MA1AB100000000207,,,,
SUP-063,Auto Supplier 63,ENG-1054,MA1AB100000000208,,,,
SUP-080,Auto Supplier 80,ENG-1445,MA1AB100000000209,,,,
SUP-030,Auto Supplier 30,ENG-1324,MA1AB100000000210,,,,
SUP-166,Auto Supplier 166,ENG-1490,MA1AB100000000211,,,,
SUP-155,Auto Supplier 155,ENG-1088,MA1AB100000000212,,,,
SUP-145,Auto Supplier 145,ENG-1386,MA1AB100000000213,,,,
SUP-018,Auto Supplier 18,ENG-1225,MA1AB100000000214,,,,
SUP-019,Auto Supplier 19,ENG-1259,MA1AB100000000215,,,,
SUP-074,Auto Supplier 74,ENG-1425,MA1AB100000000216,,,,
SUP-142,Auto Supplier 142,ENG-1297,MA1AB100000000217,,,,
SUP-016,Auto Supplier 16,ENG-1077,MA1AB100000000218,,,,
SUP-045,Auto Supplier 45,ENG-1330,MA1AB100000000219,,,,
SUP-073,Auto Supplier 73,ENG-1190,MA1AB100000000220,,,,
SUP-166,Auto Supplier 166,ENG-1323,MA1AB100000000221,,,,
