Failure_Code,Failure_Description,Total_Claims,Total_Warranty_Cost,Average_Warranty_Cost,Warning_Level
F016,Clutch Wear,1,640,640.0,Low
F017,Radiator Leak,1,980,980.0,Low
F018,Power Window Failure,1,270,270.0,Low
F019,ABS Warning Light,1,510,510.0,Low
F020,Oil Leakage,1,760,760.0,Low
F021,Starter Motor Failure,1,890,890.0,Low
F022,Horn Not Working,1,120,120.0,Low
F023,Wiper Motor Failure,1,210,210.0,Low
F024,Exhaust Noise,1,430,430.0,Low
F025,Coolant Leak,1,680,680.0,Low
F026,ECU Software Error,1,1150,1150.0,Low
F027,Seat Belt Jam,1,190,190.0,Low
F028,Mirror Adjustment Failure,1,240,240.0,Low
F029,Steering Column Noise,1,720,720.0,Low
F030,Rear Camera Failure,1,560,560.0,Low
F031,Ignition Switch Failure,1,470,470.0,Low
F032,Turbocharger Noise,1,1780,1780.0,Low
F033,Fuel Injector Failure,1,950,950.0,Low
F034,Sunroof Motor Failure,1,620,620.0,Low
F035,Door Hinge Noise,1,180,180.0,Low
F036,Wheel Bearing Failure,1,810,810.0,Low
F037,Dashboard Rattle,1,220,220.0,Low
F038,Airbag Warning Light,1,1040,1040.0,Low
F039,Rear Suspension Failure,1,920,920.0,Low
F040,Gear Shift Hard,1,670,670.0,Low
F041,Fog Lamp Failure,1,140,140.0,Low
F042,Engine Misfire,1,1380,1380.0,Low
F043,Rear Door Lock Failure,1,260,260.0,Low
F044,Parking Sensor Failure,1,390,390.0,Low
F045,Clutch Pedal Noise,1,320,320.0,Low
F046,Engine Mount Damage,1,860,860.0,Low
F047,Brake Fluid Leak,1,730,730.0,Low
F048,Shock Absorber Failure,1,980,980.0,Low
F049,Key Fob Failure,1,210,210.0,Low
F050,Cabin Fan Noise,1,350,350.0,Low
F051,Timing Belt Wear,1,1290,1290.0,Low
F052,Wheel Alignment Issue,1,180,180.0,Low
F053,AC Blower Failure,1,540,540.0,Low
F054,Rear Brake Noise,1,410,410.0,Low
F055,Fuel Tank Leak,1,1540,1540.0,Low
F056,Engine Oil Consumption,1,980,980.0,Low
F057,Steering Rack Leak,1,1120,1120.0,Low
F058,Front Suspension Noise,1,690,690.0,Low
F059,Reverse Camera Blur,1,420,420.0,Low
F060,Fuse Box Failure,1,310,310.0,Low
F061,Engine Knock,1,1650,1650.0,Low
F062,Brake Pedal Soft,1,740,740.0,Low
F063,Air Filter Housing Crack,1,180,180.0,Low
F064,Fuel Gauge Malfunction,1,290,290.0,Low
F065,Clutch Master Cylinder Leak,1,830,830.0,Low
F066,Radiator Fan Failure,1,620,620.0,Low
F067,Door Handle Broken,1,160,160.0,Low
F068,Windshield Washer Pump Failure,1,210,210.0,Low
F069,Crankshaft Sensor Failure,1,560,560.0,Low
F070,Engine Stall,1,1430,1430.0,Low
F071,Central Locking Failure,1,380,380.0,Low
F072,Dashboard Display Blank,1,760,760.0,Low
F073,Rear Wiper Failure,1,150,150.0,Low
F074,CV Joint Noise,1,970,970.0,Low
F075,Exhaust Smoke,1,1380,1380.0,Low
F076,Bonnet Lock Failure,1,240,240.0,Low
F077,Alternator Belt Noise,1,340,340.0,Low
F078,Coolant Reservoir Crack,1,260,260.0,Low
F079,ECU Communication Error,1,1290,1290.0,Low
F080,Rear Axle Noise,1,890,890.0,Low
F081,Oxygen Sensor Failure,1,450,450.0,Low
F082,Power Steering Failure,1,1560,1560.0,Low
F083,Interior Light Failure,1,110,110.0,Low
F084,Boot Lock Failure,1,230,230.0,Low
F085,Engine Vibration,1,1180,1180.0,Low
F086,Fuel Pipe Leak,1,690,690.0,Low
F087,Sun Visor Broken,1,120,120.0,Low
F088,Rear Defogger Failure,1,410,410.0,Low
F089,Ignition Coil Failure,1,860,860.0,Low
F090,Air Intake Leak,1,530,530.0,Low
F091,Front Seat Adjustment Failure,1,310,310.0,Low
F092,Wheel Hub Damage,1,980,980.0,Low
F093,Rear Shock Leak,1,760,760.0,Low
F094,Glow Plug Failure,1,670,670.0,Low
F095,Electronic Parking Brake Failure,1,1190,1190.0,Low
F096,Engine Mount Failure,1,940,940.0,Low
F097,Brake Disc Wear,1,580,580.0,Low
F098,Clutch Hydraulic Leak,1,720,720.0,Low
F099,Throttle Position Sensor Failure,1,460,460.0,Low
F100,Cabin AC Blower Noise,1,340,340.0,Low
F101,Rear Door Window Jam,1,280,280.0,Low
F102,Fuel Injector Leak,1,1120,1120.0,Low
F103,Steering Wheel Misalignment,1,390,390.0,Low
F104,Radiator Fan Noise,1,520,520.0,Low
F105,ABS Module Failure,1,1380,1380.0,Low
F106,Power Mirror Failure,1,260,260.0,Low
F107,Battery Charging Issue,1,890,890.0,Low
F108,Wheel Speed Sensor Failure,1,430,430.0,Low
F109,Headlamp Moisture,1,210,210.0,Low
F110,Timing Chain Noise,1,1640,1640.0,Low
F111,Engine ECU Failure,1,1850,1850.0,Low
F112,Rear Suspension Bushing Wear,1,670,670.0,Low
F113,Fuel Cap Sensor Failure,1,190,190.0,Low
F114,Airbag Sensor Fault,1,980,980.0,Low
F115,Transmission Control Module Failure,1,2150,2150.0,Low
