Part_Number,Part_Name,Category,BOM_Version,Effective_Date,Unit_Cost_USD,Supplier_Code,Status,Plant,Effective_From,Effective_To
 eng-1000 ,Transmission Part 1,Exterior,V1,2026-03-01,295.52,SUP-059,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1001,Brake Part 2,Engine,V1,2025-12-01,392.66,SUP-162,Active,Plant-A,2025-12-01,2026-05-30
ENG-1002,Brake Part 3,Electrical,V3,2026-03-01,467.59,SUP-024,Active,Plant-C,2026-03-01,2026-08-28
ENG-1003,Chassis Part 4,Interior,V2,2026-01-01,235.48,SUP-020,Active,Plant-C,2026-01-01,2026-06-30
ENG-1004,Transmission Part 5,Exterior,V2,2026-01-01,255.75,SUP-200,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1005,Brake Part 6,Transmission,V3,2025-12-01,306.52,SUP-118,Active,Plant-A,2025-12-01,2026-05-30
ENG-1006,Exterior Part 7,Electrical,V3,2025-12-01,415.38,SUP-150,Active,Plant-C,2025-12-01,2026-05-30
ENG-1007,Interior Part 8,Transmission,V3,2025-12-01,187.59,SUP-047,Active,Plant-C,2025-12-01,2026-05-30
ENG-1008,Brake Part 9,Suspension,V1,2026-01-01,54.84,SUP-087,Active,Plant-C,2026-01-01,2026-06-30
ENG-1009,Engine Part 10,Brake,V3,2026-01-01,289.45,SUP-006,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1010,Engine Part 11,Suspension,V2,2026-01-01,469.51,SUP-020,Active,Plant-B,2026-01-01,2026-06-30
ENG-1011,Brake Part 12,Brake,v1,2026-03-01,391.38,SUP-072,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1012,Chassis Part 13,Exterior,V2,2026-01-01,330.75,SUP-098,Active,Plant-B,2026-01-01,2026-06-30
ENG-1013,Engine Part 14,Transmission,V1,2025-12-01,488.04,SUP-097,Active,Plant-B,2025-12-01,2026-05-30
ENG-1014,Interior Part 15,Engine,v1,2025-12-01,139.77,SUP-127,Active,Plant-B,2025-12-01,2026-05-30
