Sensor_ID,Calibration_Factor
SEN001,1.007
SEN002,0.984
SEN003,1.011
SEN004,0.987
SEN005,0.984
SEN006,0.975
SEN007,1.029
SEN008,1.016
SEN009,1.012
SEN010,0.976
SEN011,0.98
SEN012,0.988
SEN013,0.972
SEN014,0.989
SEN015,0.973
SEN016,0.992
SEN017,0.996
SEN018,0.985
SEN019,0.995
SEN020,1.011
SEN021,0.981
SEN022,0.981
SEN023,1.007
SEN024,0.993
SEN025,1.011
SEN026,1.0
SEN027,1.005
SEN028,0.984
SEN029,1.008
SEN030,0.998
SEN031,1.01
SEN032,1.024
SEN033,0.998
SEN034,0.987
SEN035,1.003
SEN036,0.974
SEN037,1.027
SEN038,1.029
SEN039,0.988
SEN040,1.028
SEN041,1.011
SEN042,0.997
SEN043,0.988
SEN044,1.03
SEN045,1.021
SEN046,0.976
SEN047,0.993
SEN048,0.992
SEN049,0.988
SEN050,1.012
