Sensor_ID,Calibration_Factor,Calibration_Date,Next_Calibration_Date,Engineer,Status,Plant
SEN-001,0.991,2026-01-18,2026-07-17,R. Kumar,Valid,Plant-C
SEN-002,1.018,2026-05-11,2026-11-07,R. Kumar,Expired,Plant-B
SEN-003,0.997,2026-02-09,2026-08-08,R. Kumar,Expired,Plant-C
SEN-004,0.983,2026-05-10,2026-11-06,P. Roy,Valid,Plant-C
SEN-005,0.994,2026-04-06,2026-10-03,S. Patel,Expired,Plant-A
SEN-006,0.995,2026-01-25,2026-07-24,M. Das,Valid,Plant-B
SEN-007,1.009,2026-03-10,2026-09-06,P. Roy,Expired,Plant-A
SEN-008,0.995,2026-06-19,2026-12-16,P. Roy,Expired,Plant-A
SEN-009,1.016,2026-06-16,2026-12-13,R. Kumar,Expired,Plant-B
SEN-010,1.006,2026-05-19,2026-11-15,A. Singh,Valid,Plant-B
SEN-011,0.99,2026-02-26,2026-08-25,P. Roy,Valid,Plant-C
SEN-012,1.012,2026-05-06,2026-11-02,M. Das,Valid,Plant-B
SEN-013,1.003,2026-06-26,2026-12-23,P. Roy,Valid,Plant-A
SEN-014,1.026,2026-02-21,2026-08-20,A. Singh,Valid,Plant-A
SEN-015,1.012,2026-06-27,2026-12-24,R. Kumar,Valid,Plant-B
SEN-016,0.999,2026-01-19,2026-07-18,M. Das,Valid,Plant-C
SEN-017,0.98,2026-05-04,2026-10-31,M. Das,Valid,Plant-A
SEN-018,1.013,2026-01-27,2026-07-26,M. Das,Valid,Plant-C
SEN-019,1.027,2026-01-24,2026-07-23,P. Roy,Valid,Plant-C
SEN-020,0.985,2026-03-01,2026-08-28,A. Singh,Expired,Plant-C
SEN-021,1.01,2026-01-03,2026-07-02,A. Singh,Valid,Plant-A
SEN-022,1.021,2026-06-07,2026-12-04,R. Kumar,Valid,Plant-C
SEN-023,1.015,2026-03-09,2026-09-05,M. Das,Valid,Plant-B
SEN-024,1.028,2026-04-03,2026-09-30,P. Roy,Expired,Plant-A
SEN-025,1.01,2026-04-27,2026-10-24,P. Roy,Valid,Plant-C
SEN-026,1.014,2026-02-03,2026-08-02,M. Das,Expired,Plant-A
SEN-027,1.001,2026-03-07,2026-09-03,A. Singh,Expired,Plant-C
SEN-028,1.028,2026-03-22,2026-09-18,P. Roy,Expired,Plant-C
SEN-029,0.971,2026-03-02,2026-08-29,R. Kumar,Valid,Plant-A
SEN-030,0.997,2026-05-05,2026-11-01,P. Roy,Valid,Plant-B
SEN-031,1.019,2026-06-26,2026-12-23,A. Singh,Valid,Plant-B
SEN-032,1.021,2026-02-26,2026-08-25,R. Kumar,Valid,Plant-C
SEN-033,0.986,2026-02-09,2026-08-08,S. Patel,Valid,Plant-C
SEN-034,1.016,2026-02-27,2026-08-26,S. Patel,Expired,Plant-B
SEN-035,1.026,2026-04-02,2026-09-29,R. Kumar,Valid,Plant-B
SEN-036,1.012,2026-01-11,2026-07-10,R. Kumar,Valid,Plant-C
SEN-037,1.028,2026-04-20,2026-10-17,P. Roy,Expired,Plant-B
SEN-038,0.981,2026-03-12,2026-09-08,M. Das,Expired,Plant-B
SEN-039,1.013,2026-03-22,2026-09-18,R. Kumar,Valid,Plant-C
SEN-040,0.982,2026-06-19,2026-12-16,S. Patel,Expired,Plant-C
SEN-041,0.984,2026-03-26,2026-09-22,R. Kumar,Valid,Plant-C
SEN-042,0.976,2026-03-28,2026-09-24,M. Das,Expired,Plant-A
SEN-043,1.021,2026-01-13,2026-07-12,S. Patel,Valid,Plant-C
SEN-044,0.975,2026-03-12,2026-09-08,S. Patel,Expired,Plant-B
SEN-045,0.976,2026-05-23,2026-11-19,S. Patel,Valid,Plant-A
SEN-046,0.998,2026-01-18,2026-07-17,S. Patel,Valid,Plant-B
SEN-047,0.998,2026-05-08,2026-11-04,A. Singh,Expired,Plant-A
SEN-048,1.003,2026-03-21,2026-09-17,S. Patel,Valid,Plant-B
SEN-049,0.975,2026-04-24,2026-10-21,R. Kumar,Expired,Plant-B
SEN-050,0.995,2026-03-05,2026-09-01,S. Patel,Valid,Plant-C
