Event_ID,Line,Station,TS,Part_No,Torque,Temp,Pressure,Defect,VIN,Supplier,Work_Order,Sensor_ID,Calibration_Factor,Inspection_Source,Tool_ID,Shift,Scrap_Reason,BOM_Version,Effective_Date
M7000,TRIM-1,STN-02,2026-03-10 06:70, 125-abc ,60 nm,85C,4.5 bar, ok ,XX1 2 3 4,,WO10000,SEN-009,0.976,Human,TL-030,B,NA,V1,2026-03-01
M7001,PAINT-1,STN-01,2026-03-10 06:01,115-ABC,45,104F,65 psi,None,XX100001,SUP-19,WO10001,SEN-002,1.027,Human,TL-019,,NA,V1,2026-01-01
M7002,GA-2,STN-03,2026-03-10 06:02,126-ABC,45.0 ,104F,4.5 bar,na,XX100002,SUP-10,WO10002,SEN-009,1.019,Human,TL-004,B,Weld,V1,2025-12-31
M7003,GA-1,STN-05,2026-03-10 06:03,103-ABC,,85 C,65 psi,reject,XX100003,SUP-18,WO10003,SEN-007,1.017,Automated,TL-019,,Weld,V2,2026-01-01
M7004,GA-2, stn-05 ,2026-03-10 06:04,149-ABC,45.0 ,85C,5 bar,Reject,XX100004,SUP-17,WO10004,SEN-008,1.023,Automated,TL-010,A,NA,v1,2026-03-01
M7005,GA-2,Stn-03,2026-03-10 06:05,121-ABC,45.0 ,40 C,65 psi,None,XX100005,SUP-03,WO10005,SEN-009,1.004,Automated,TL-011,C,Material,V2,2025-12-31
M7006,PAINT-1,STN-01,2026-03-10 06:06,105-ABC,35 lb-ft,40 C,5 bar,reject,XX100006,SUP-03,WO10006,SEN-001,1.014,Automated,TL-021,,Weld,v1,2026-03-01
M7007,TRIM-1,STN-01,2026-03-10 06:07,129-ABC,35 lb-ft,85 C,5 bar,None,XX100007,SUP-16,WO10007,SEN-001,0.983,Automated,TL-005,B,Dimension,V2,2026-03-01
M7008,GA-1,STN-02,2026-03-10 06:08,128-ABC,50Nm,104F,65 psi,OK,XX100008,SUP-14,WO10008,SEN-009,0.987,Automated,TL-012,,Paint,V1,2026-01-01
M7009,GA-2,STN-02,2026-03-10 06:09,114-ABC,60 nm,85 C,4.5 bar,Repair,XX100009,SUP-19,WO10009,SEN-003,0.986,Human,TL-005,,Material,V2,2025-12-31
M7010,TRIM-1,STN-02,2026-03-10 06:10,144-ABC,,104F,5 bar,reject,XX100010,SUP-02,WO10010,SEN-008,1.024,Automated,TL-013,,Dimension,V1,2026-03-01
M7011,PAINT-1,STN-01,2026-03-10 06:11,112-ABC,45,85 C,65 psi,OK,XX100011,SUP-04,WO10011,SEN-006,1.006,Human,TL-001,B,Material,V1,2026-03-01
M7012,GA-1,STN-01,2026-03-10 06:12,113-ABC,,40 C,4.5 bar,reject,XX100012,SUP-09,WO10012,SEN-006,1.006,Automated,TL-004,A,Dimension,V2,2026-03-01
M7013,PAINT-1,STN-03,2026-03-10 06:13,105-ABC,45.0 ,85C,5 bar,Reject,XX100013,SUP-09,WO10013,SEN-008,1.02,Human,TL-017,A,Paint,v1,2026-03-01
M7014,GA-2, stn-05 ,2026-03-10 06:14,134-ABC,45,104F,65 psi,reject,XX100014,SUP-03,WO10014,SEN-005,1.001,Human,TL-012,B,Material,v1,2025-12-31
M7015,TRIM-1, stn-05 ,2026-03-10 06:15,114-ABC,,85 C,4.5 bar, ok ,XX100015,SUP-13,WO10015,SEN-004,0.982,Automated,TL-012,A,NA,V2,2026-03-01
M7016,TRIM-1,STN-02,2026-03-10 06:16,144-ABC,,95 F,65 psi, ok ,XX100016,SUP-12,WO10016,SEN-006,0.975,Human,TL-008,,Paint,V2,2026-01-01
M7017,PAINT-1,STN-05,2026-03-10 06:17,139-ABC,45,40 C,5 bar,Reject,XX100017,SUP-03,WO10017,SEN-002,1.025,Human,TL-016,B,Dimension,v1,2026-03-01
M7018,GA-1,Stn-03,2026-03-10 06:18,146-ABC,50Nm,40 C,65 psi,reject,XX100018,SUP-03,WO10018,SEN-003,0.98,Human,TL-001,B,Material,V2,2025-12-31
M7019,GA-2,STN-05,2026-03-10 06:19,138-ABC,50Nm,,65 psi,OK,XX100019,SUP-18,WO10019,SEN-009,0.978,Human,TL-026,A,Material,v1,2026-01-01
M7020,PAINT-1,Stn-03,2026-03-10 06:20,112-ABC,45.0 ,85C,65 psi,OK,XX100020,SUP-10,WO10020,SEN-009,0.984,Automated,TL-009,,Paint,V1,2025-12-31
M7021,TRIM-1,STN-04,2026-03-10 06:21,142-ABC,,104F,65 psi, ok ,XX100021,SUP-17,WO10021,SEN-003,1.002,Human,TL-028,,Paint,v1,2026-01-01
M7022,GA-2,STN-02,2026-03-10 06:22,109-ABC,50Nm,104F,5 bar,None,XX100022,SUP-18,WO10022,SEN-001,0.99,Automated,TL-026,A,Material,V1,2026-01-01
M7023,GA-2,STN-03,2026-03-10 06:23,102-ABC,45,104F,65 psi,na,XX100023,SUP-01,WO10023,SEN-002,0.997,Human,TL-023,C,Dimension,v1,2025-12-31
M7024,PAINT-1,STN-05,2026-03-10 06:24,115-ABC,60 nm,104F,65 psi,na,XX100024,SUP-07,WO10024,SEN-008,0.978,Human,TL-013,,Weld,V1,2025-12-31
M7025,GA-2,STN-04,2026-03-10 06:25,104-ABC,45.0 ,,65 psi, ok ,XX100025,SUP-04,WO10025,SEN-003,1.026,Automated,TL-005,C,Paint,V2,2026-01-01
M7026,GA-1,STN-04,2026-03-10 06:26,131-ABC,45.0 ,,4.5 bar,OK,XX100026,SUP-14,WO10026,SEN-009,0.994,Automated,TL-007,C,Weld,V1,2025-12-31
M7027,TRIM-1,STN-01,2026-03-10 06:27,121-ABC,,40 C,65 psi,reject,XX100027,SUP-01,WO10027,SEN-007,0.99,Automated,TL-017,A,NA,V1,2026-01-01
M7028,GA-1,STN-03,2026-03-10 06:28,117-ABC,45,85 C,65 psi, ok ,XX100028,SUP-05,WO10028,SEN-007,1.021,Automated,TL-013,B,Material,v1,2025-12-31
M7029,PAINT-1, stn-05 ,2026-03-10 06:29,120-ABC,45,95 F,4.5 bar, ok ,XX100029,SUP-06,WO10029,SEN-007,1.024,Automated,TL-999,A,NA,V2,2026-01-01
M7030,GA-2,STN-01,2026-03-10 06:30,116-ABC,45,40 C,4.5 bar,Reject,XX100030,SUP-18,WO10030,SEN-007,1.026,Automated,TL-020,B,NA,v1,2025-12-31
M7031,GA-2,STN-01,2026-03-10 06:31,110-ABC,35 lb-ft,85C,4.5 bar,OK,XX100031,SUP-10,WO10031,SEN-005,1.002,Human,TL-010,,Material,v1,2026-01-01
M7032,TRIM-1,STN-03,2026-03-10 06:32,101-ABC,35 lb-ft,85C,4.5 bar,None,XX100032,SUP-17,WO10032,SEN-009,1.029,Automated,TL-008,,NA,v1,2025-12-31
M7033,PAINT-1, stn-05 ,2026-03-10 06:33,131-ABC,,40 C,5 bar,Reject,XX100033,SUP-07,WO10033,SEN-004,0.991,Human,TL-013,C,NA,V1,2026-01-01
M7034,GA-1, stn-05 ,2026-03-10 06:34,147-ABC,35 lb-ft,40 C,4.5 bar,None,XX100034,SUP-03,WO10034,SEN-007,1.022,Automated,TL-020,B,Weld,V1,2026-03-01
M7035,GA-2,STN-02,2026-03-10 06:35,117-ABC,50Nm,85C,65 psi,Reject,XX100035,SUP-11,WO10035,SEN-009,0.989,Human,TL-999,C,Paint,V2,2026-01-01
M7036,GA-1,STN-03,2026-03-10 06:36,124-ABC,45,40 C,65 psi,na,XX100036,SUP-07,WO10036,SEN-004,1.0,Human,TL-003,C,NA,V1,2026-03-01
M7037,GA-1,STN-04,2026-03-10 06:37,101-ABC,35 lb-ft,95 F,5 bar,OK,XX100037,SUP-03,WO10037,SEN-010,1.027,Human,TL-022,,Weld,v1,2026-03-01
M7038,GA-2,STN-03,2026-03-10 06:38,146-ABC,,,4.5 bar,None,XX100038,SUP-17,WO10038,SEN-007,1.014,Human,TL-030,A,Material,v1,2025-12-31
M7039,GA-2,STN-01,2026-03-10 06:39,101-ABC,45,85 C,5 bar,Reject,XX100039,SUP-04,WO10039,SEN-007,1.02,Human,TL-021,A,Material,v1,2026-01-01
