VIN,Total_Energy_kWh,Energy_per_Vehicle_kWh
MA1AB100000000001,12.88,12.88
MA1AB100000000002,2.58,2.58
MA1AB100000000003,28.12,28.12
MA1AB100000000004,7.28,7.28
MA1AB100000000005,23.4,23.4
MA1AB100000000006,4.86,4.86
MA1AB100000000007,11.28,11.28
MA1AB100000000008,20.88,20.88
MA1AB100000000009,24.02,24.02
MA1AB100000000010,22.02,22.02
MA1AB100000000011,13.6,13.6
MA1AB100000000012,27.54,27.54
MA1AB100000000013,8.120000000000001,8.120000000000001
MA1AB100000000014,24.759999999999998,24.759999999999998
MA1AB100000000015,26.0,26.0
MA1AB100000000016,31.82,31.82
MA1AB100000000017,23.18,23.18
MA1AB100000000018,0.0,0.0
MA1AB100000000019,3.8,3.8
MA1AB100000000020,0.0,0.0
MA1AB100000000021,24.32,24.32
MA1AB100000000022,6.9,6.9
MA1AB100000000023,24.02,24.02
MA1AB100000000024,38.96,38.96
MA1AB100000000025,19.84,19.84
MA1AB100000000026,43.54,43.54
MA1AB100000000027,74.02,74.02
MA1AB100000000028,30.759999999999998,30.759999999999998
MA1AB100000000029,5.92,5.92
MA1AB100000000030,14.84,14.84
MA1AB100000000031,14.46,14.46
MA1AB100000000032,0.0,0.0
MA1AB100000000033,12.18,12.18
MA1AB100000000034,15.64,15.64
MA1AB100000000035,15.86,15.86
MA1AB100000000036,0.0,0.0
MA1AB100000000037,58.86,58.86
MA1AB100000000038,35.519999999999996,35.519999999999996
MA1AB100000000039,19.12,19.12
MA1AB100000000040,26.92,26.92
MA1AB100000000041,6.52,6.52
MA1AB100000000042,0.0,0.0
MA1AB100000000043,2.32,2.32
MA1AB100000000044,10.8,10.8
MA1AB100000000045,36.64,36.64
MA1AB100000000046,28.82,28.82
MA1AB100000000047,24.54,24.54
MA1AB100000000048,27.0,27.0
MA1AB100000000049,29.44,29.44
MA1AB100000000050,0.0,0.0
MA1AB100000000051,3.02,3.02
MA1AB100000000052,9.879999999999999,9.879999999999999
MA1AB100000000053,2.99,2.99
MA1AB100000000054,0.0,0.0
MA1AB100000000055,3.76,3.76
MA1AB100000000056,5.82,5.82
MA1AB100000000057,0.0,0.0
MA1AB100000000058,5.06,5.06
MA1AB100000000059,2.2,2.2
MA1AB100000000060,11.81,11.81
MA1AB100000000061,0.0,0.0
MA1AB100000000062,9.43,9.43
MA1AB100000000063,11.33,11.33
MA1AB100000000064,6.95,6.95
MA1AB100000000065,7.5,7.5
MA1AB100000000066,13.04,13.04
MA1AB100000000067,0.0,0.0
MA1AB100000000068,5.73,5.73
MA1AB100000000069,6.51,6.51
MA1AB100000000070,6.74,6.74
MA1AB100000000071,0.0,0.0
MA1AB100000000072,4.58,4.58
MA1AB100000000073,6.49,6.49
MA1AB100000000074,6.63,6.63
MA1AB100000000075,15.280000000000001,15.280000000000001
MA1AB100000000076,0.68,0.68
MA1AB100000000077,5.56,5.56
MA1AB100000000078,11.22,11.22
MA1AB100000000079,0.0,0.0
MA1AB100000000080,7.68,7.68
MA1AB100000000081,14.280000000000001,14.280000000000001
MA1AB100000000082,13.18,13.18
MA1AB100000000083,7.78,7.78
MA1AB100000000084,1.29,1.29
MA1AB100000000085,6.55,6.55
MA1AB100000000086,22.759999999999998,22.759999999999998
MA1AB100000000087,9.31,9.31
MA1AB100000000088,5.41,5.41
MA1AB100000000089,0.0,0.0
MA1AB100000000090,2.24,2.24
MA1AB100000000091,3.52,3.52
MA1AB100000000092,6.48,6.48
MA1AB100000000093,14.95,14.95
MA1AB100000000094,19.11,19.11
MA1AB100000000095,3.4,3.4
MA1AB100000000096,2.13,2.13
MA1AB100000000097,21.01,21.01
MA1AB100000000098,10.07,10.07
MA1AB100000000099,6.1000000000000005,6.1000000000000005
MA1AB100000000100,0.0,0.0
MA1AB100000000101,11.149999999999999,11.149999999999999
MA1AB100000000102,14.68,14.68
MA1AB100000000103,15.6,15.6
MA1AB100000000104,1.54,1.54
MA1AB100000000105,0.0,0.0
MA1AB100000000106,2.99,2.99
MA1AB100000000107,22.88,22.88
MA1AB100000000108,4.2700000000000005,4.2700000000000005
MA1AB100000000109,0.0,0.0
MA1AB100000000110,5.7,5.7
MA1AB100000000111,0.0,0.0
MA1AB100000000112,20.54,20.54
MA1AB100000000113,8.629999999999999,8.629999999999999
MA1AB100000000114,16.27,16.27
MA1AB100000000115,10.49,10.49
MA1AB100000000116,4.13,4.13
MA1AB100000000117,2.05,2.05
MA1AB100000000118,1.42,1.42
MA1AB100000000119,0.0,0.0
MA1AB100000000120,3.3,3.3
MA1AB100000000121,8.89,8.89
MA1AB100000000122,9.98,9.98
MA1AB100000000123,9.61,9.61
MA1AB100000000124,19.85,19.85
MA1AB100000000125,3.49,3.49
MA1AB100000000126,4.58,4.58
MA1AB100000000127,7.02,7.02
MA1AB100000000128,21.61,21.61
MA1AB100000000129,5.91,5.91
MA1AB100000000130,8.530000000000001,8.530000000000001
MA1AB100000000131,0.63,0.63
MA1AB100000000132,2.44,2.44
MA1AB100000000133,23.55,23.55
MA1AB100000000134,7.65,7.65
MA1AB100000000135,9.91,9.91
MA1AB100000000136,5.62,5.62
MA1AB100000000137,8.290000000000001,8.290000000000001
MA1AB100000000138,1.56,1.56
MA1AB100000000139,11.379999999999999,11.379999999999999
MA1AB100000000140,9.129999999999999,9.129999999999999
MA1AB100000000141,0.0,0.0
MA1AB100000000142,0.0,0.0
MA1AB100000000143,4.81,4.81
MA1AB100000000144,6.32,6.32
MA1AB100000000145,4.73,4.73
