Operator_ID,Name,Shift_Code
OP-001,Operator 1,Evening_Shift_2
OP-002,Operator 2,Morning_Shift_1
OP-003,Operator 3,Night_Shift_3
OP-004,Operator 4,Night_Shift_3
OP-005,Operator 5,Night_Shift_3
OP-006,Operator 6,Evening_Shift_2
OP-007,Operator 7,Evening_Shift_2
OP-008,Operator 8,Morning_Shift_1
OP-009,Operator 9,Evening_Shift_2
OP-010,Operator 10,Evening_Shift_2
OP-011,Operator 11,Morning_Shift_1
OP-012,Operator 12,Night_Shift_3
OP-013,Operator 13,Night_Shift_3
OP-014,Operator 14,Morning_Shift_1
OP-015,Operator 15,Night_Shift_3
OP-016,Operator 16,Evening_Shift_2
OP-017,Operator 17,Morning_Shift_1
OP-018,Operator 18,Morning_Shift_1
OP-019,Operator 19,Morning_Shift_1
OP-020,Operator 20,Night_Shift_3
OP-021,Operator 21,Morning_Shift_1
OP-022,Operator 22,Morning_Shift_1
OP-023,Operator 23,Morning_Shift_1
OP-024,Operator 24,Night_Shift_3
OP-025,Operator 25,Evening_Shift_2
OP-026,Operator 26,Morning_Shift_1
OP-027,Operator 27,Evening_Shift_2
OP-028,Operator 28,Night_Shift_3
OP-029,Operator 29,Night_Shift_3
OP-030,Operator 30,Night_Shift_3
OP-031,Operator 31,Night_Shift_3
OP-032,Operator 32,Evening_Shift_2
OP-033,Operator 33,Morning_Shift_1
OP-034,Operator 34,Night_Shift_3
OP-035,Operator 35,Night_Shift_3
OP-036,Operator 36,Evening_Shift_2
OP-037,Operator 37,Evening_Shift_2
OP-038,Operator 38,Night_Shift_3
OP-039,Operator 39,Morning_Shift_1
OP-040,Operator 40,Morning_Shift_1
OP-041,Operator 41,Night_Shift_3
OP-042,Operator 42,Evening_Shift_2
OP-043,Operator 43,Night_Shift_3
OP-044,Operator 44,Night_Shift_3
OP-045,Operator 45,Evening_Shift_2
OP-046,Operator 46,Night_Shift_3
OP-047,Operator 47,Night_Shift_3
OP-048,Operator 48,Night_Shift_3
OP-049,Operator 49,Evening_Shift_2
OP-050,Operator 50,Morning_Shift_1
OP-051,Operator 51,Morning_Shift_1
OP-052,Operator 52,Evening_Shift_2
OP-053,Operator 53,Morning_Shift_1
OP-054,Operator 54,Night_Shift_3
OP-055,Operator 55,Morning_Shift_1
OP-056,Operator 56,Night_Shift_3
OP-057,Operator 57,Morning_Shift_1
OP-058,Operator 58,Evening_Shift_2
OP-059,Operator 59,Morning_Shift_1
OP-060,Operator 60,Morning_Shift_1
OP-061,Operator 61,Morning_Shift_1
OP-062,Operator 62,Evening_Shift_2
OP-063,Operator 63,Morning_Shift_1
OP-064,Operator 64,Evening_Shift_2
OP-065,Operator 65,Night_Shift_3
OP-066,Operator 66,Morning_Shift_1
OP-067,Operator 67,Evening_Shift_2
OP-068,Operator 68,Evening_Shift_2
OP-069,Operator 69,Morning_Shift_1
OP-070,Operator 70,Night_Shift_3
OP-071,Operator 71,Evening_Shift_2
OP-072,Operator 72,Morning_Shift_1
OP-073,Operator 73,Night_Shift_3
OP-074,Operator 74,Evening_Shift_2
OP-075,Operator 75,Evening_Shift_2
OP-076,Operator 76,Night_Shift_3
OP-077,Operator 77,Night_Shift_3
OP-078,Operator 78,Morning_Shift_1
OP-079,Operator 79,Morning_Shift_1
OP-080,Operator 80,Evening_Shift_2
OP-081,Operator 81,Night_Shift_3
OP-082,Operator 82,Night_Shift_3
OP-083,Operator 83,Night_Shift_3
OP-084,Operator 84,Evening_Shift_2
OP-085,Operator 85,Night_Shift_3
OP-086,Operator 86,Night_Shift_3
OP-087,Operator 87,Evening_Shift_2
OP-088,Operator 88,Morning_Shift_1
OP-089,Operator 89,Morning_Shift_1
OP-090,Operator 90,Evening_Shift_2
OP-091,Operator 91,Night_Shift_3
OP-092,Operator 92,Evening_Shift_2
OP-093,Operator 93,Morning_Shift_1
OP-094,Operator 94,Morning_Shift_1
OP-095,Operator 95,Evening_Shift_2
OP-096,Operator 96,Evening_Shift_2
OP-097,Operator 97,Morning_Shift_1
OP-098,Operator 98,Evening_Shift_2
OP-099,Operator 99,Morning_Shift_1
OP-100,Operator 100,Evening_Shift_2
OP-101,Operator 101,Evening_Shift_2
OP-102,Operator 102,Evening_Shift_2
OP-103,Operator 103,Morning_Shift_1
OP-104,Operator 104,Evening_Shift_2
OP-105,Operator 105,Morning_Shift_1
OP-106,Operator 106,Morning_Shift_1
OP-107,Operator 107,Evening_Shift_2
OP-108,Operator 108,Evening_Shift_2
OP-109,Operator 109,Morning_Shift_1
OP-110,Operator 110,Morning_Shift_1
OP-111,Operator 111,Night_Shift_3
OP-112,Operator 112,Morning_Shift_1
OP-113,Operator 113,Night_Shift_3
OP-114,Operator 114,Night_Shift_3
OP-115,Operator 115,Night_Shift_3
OP-116,Operator 116,Evening_Shift_2
OP-117,Operator 117,Evening_Shift_2
OP-118,Operator 118,Morning_Shift_1
OP-119,Operator 119,Night_Shift_3
OP-120,Operator 120,Evening_Shift_2
OP-121,Operator 121,Evening_Shift_2
OP-122,Operator 122,Evening_Shift_2
OP-123,Operator 123,Evening_Shift_2
OP-124,Operator 124,Evening_Shift_2
OP-125,Operator 125,Night_Shift_3
OP-126,Operator 126,Night_Shift_3
OP-127,Operator 127,Night_Shift_3
OP-128,Operator 128,Night_Shift_3
OP-129,Operator 129,Morning_Shift_1
OP-130,Operator 130,Night_Shift_3
OP-131,Operator 131,Evening_Shift_2
OP-132,Operator 132,Night_Shift_3
OP-133,Operator 133,Morning_Shift_1
OP-134,Operator 134,Evening_Shift_2
OP-135,Operator 135,Night_Shift_3
OP-136,Operator 136,Night_Shift_3
OP-137,Operator 137,Night_Shift_3
OP-138,Operator 138,Evening_Shift_2
OP-139,Operator 139,Evening_Shift_2
OP-140,Operator 140,Morning_Shift_1
OP-141,Operator 141,Evening_Shift_2
OP-142,Operator 142,Evening_Shift_2
OP-143,Operator 143,Night_Shift_3
OP-144,Operator 144,Evening_Shift_2
OP-145,Operator 145,Night_Shift_3
OP-146,Operator 146,Night_Shift_3
OP-147,Operator 147,Evening_Shift_2
