VIN,Work_Order,Station,Line,Timestamp,Part_Number,Supplier_Code,Torque,Temperature,Pressure,Defect,Inspection_Source,Tool_ID,Operator_ID,Shift,Scrap_Reason,BOM_Status,VIN_Status,Masked_VIN,Supplier_Status,Supplier_Name,Country,Sensor_Number,Calibration_Factor,Calibration_Status,Cycle_Time_Minutes,Cycle_Time_Status,VIN_Count,WO_VIN_Status,Station_Visit_Count,Rework_Status,Shift_Status,Scrap_Reason_Status
INVALID VIN,WO100000,ST01,L03,2026-07-01 06:00:00,ENG-1001,NAN,45.0,40.0,5.62,Reject,Human,TL999,EMP156,B,Material,Valid,Invalid,INVALID VIN,Invalid,,,999,,Missing Calibration,,First Event,2,Invalid,1,Normal,Invalid,Mapped
INVALID VIN,WO100777,ST02,L02,2026-07-01 22:11:15,ENG-1001,NAN,50.0,42.0,4.43,OK,Automated,TL099,EMP238,C,Weld Crack,Valid,Invalid,INVALID VIN,Invalid,,,099,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
INVALID VIN,WO102331,ST02,L02,2026-07-03 06:33:45,ENG-1001,SUP1114,35.0,35.0,5.48,OK,Automated,TL057,EMP128,B,Paint Defect,Valid,Invalid,INVALID VIN,Valid,Supplier_115,China,057,,Missing Calibration,1942.5,Cycle Time Too High,1,Valid,2,Rework,Invalid,Mapped
INVALID VIN,WO103885,ST02,L01,2026-07-04 14:56:15,ENG-1001,SUP9999,35.0,40.0,5.87,OK,Human,TL086,EMP154,B,Weld Crack,Valid,Invalid,INVALID VIN,Invalid,,,086,,Missing Calibration,1942.5,Cycle Time Too High,1,Valid,3,Rework,Invalid,Mapped
INVALID VIN,WO101554,ST04,L02,2026-07-02 14:22:30,ENG-1001,SUP9999,35.0,35.0,3.6,Repair,Human,TL999,EMP104,B,Paint Defect,Valid,Invalid,INVALID VIN,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
INVALID VIN,WO103108,ST04,L03,2026-07-03 22:45:00,ENG-1321,SUP9999,,40.0,5.21,Reject,Automated,TL032,EMP295,Nan,Dimension,Valid,Invalid,INVALID VIN,Invalid,,,032,1.024,Normal,1942.5,Cycle Time Too High,1,Valid,2,Rework,Invalid,Mapped
INVALIDVIN,WO100000,ST01,L03,2026-07-01 06:00:00,ENG-1001,NAN,45.0,40.0,5.62,Reject,Human,TL999,EMP156,B,Material,Valid,Invalid,INVALID VIN,Invalid,,,999,,Missing Calibration,,First Event,2,Invalid,1,Normal,Invalid,Mapped
INVALIDVIN,WO104662,ST01,L01,2026-07-05 07:07:30,ENG-1420,SUP1156,,40.0,4.47,Reject,Human,TL999,EMP187,C,Material,Valid,Invalid,INVALID VIN,Valid,Supplier_157,Japan,999,,Missing Calibration,5827.5,Cycle Time Too High,1,Valid,2,Rework,Invalid,Mapped
MA1AB100000000001,WO100001,ST05,L03,2026-07-01 06:01:15,ENG-1386,SUP1160,45.0,42.0,5.49,OK,Automated,TL094,EMP123,C,Paint Defect,Valid,Valid,MA1AB*********001,Valid,Supplier_161,Thailand,094,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000002,WO100002,ST02,L01,2026-07-01 06:02:30,ENG-1102,SUP9999,50.0,35.0,3.95,Repair,Automated,TL999,EMP305,A,Dimension,Valid,Valid,MA1AB*********002,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000003,WO100003,ST02,L01,2026-07-01 06:03:45,ENG-1386,NAN,,42.0,3.46,Repair,Human,TL034,EMP216,C,Paint Defect,Valid,Valid,MA1AB*********003,Invalid,,,034,0.987,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000004,WO100004,ST02,L03,2026-07-01 06:05:00,ENG-1001,NAN,35.0,40.0,3.27,Reject,Automated,TL079,EMP265,A,Dimension,Valid,Valid,MA1AB*********004,Invalid,,,079,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000005,WO100005,ST05,L03,2026-07-01 06:06:15,ENG-1209,SUP1035,45.0,42.0,6.09,OK,Human,TL031,EMP199,Nan,Paint Defect,Valid,Valid,MA1AB*********005,Valid,Supplier_36,Thailand,031,1.01,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000006,WO100006,ST02,L03,2026-07-01 06:07:30,ENG-1380,NAN,45.0,40.0,4.99,Reject,Human,TL999,EMP155,Nan,Dimension,Valid,Valid,MA1AB*********006,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000007,WO100007,ST04,L02,2026-07-01 06:08:45,ENG-1001,NAN,50.0,35.0,4.35,,Human,TL059,EMP269,B,Material,Valid,Valid,MA1AB*********007,Invalid,,,059,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000008,WO100008,ST01,L01,2026-07-01 06:10:00,ENG-1001,SUP1062,35.0,35.0,5.61,Reject,Human,TL076,EMP308,B,Paint Defect,Valid,Valid,MA1AB*********008,Valid,Supplier_63,Korea,076,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000000009,WO100009,ST03,L03,2026-07-01 06:11:15,ENG-1001,SUP1037,50.0,35.0,3.52,OK,Human,TL999,EMP302,B,Material,Valid,Valid,MA1AB*********009,Valid,Supplier_38,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
