Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,BOM_Status,Machine_ID,Planned_Time_Minutes,Run_Time_Minutes,Downtime_Minutes,Ideal_Cycle_Time,Total_Units,Reject_Units,Good_Units
M7000,XX1 2 3 4,WO10000,Hatch Z,GA-1,STN-01,2026/03/01 06:70,ENG-1001,,EMP240,TL-032,B,Valid,MC-101,480,460,20,1.12,562,7,555
M7001,MA1AB100000000001,WO10001,Sedan X,GA-1, stn-05 ,2026-03-01 06:01,ENG-1379,SUP-140,EMP144,TL-076,,Valid,MC-102,480,464,16,1.09,579,3,576
M7002,MA1AB100000000002,WO10002,Sedan X,GA-1,STN-01,2026-03-01 06:02,ENG-1111,SUP-060,EMP358,TL-078,A,Valid,MC-103,480,472,8,0.83,599,3,596
M7003,MA1AB100000000003,WO10003,Hatch Z,GA-2, stn-05 ,2026-03-01 06:03,ENG-1332,SUP-180,EMP379,TL-054,B,Valid,MC-104,480,461,19,0.96,576,9,567
M7004,MA1AB100000000004,WO10004,SUV Pro,PAINT-1,Stn-03,2026-03-01 06:05,ENG-1445,SUP-002,EMP181,TL-090,,Valid,MC-105,480,457,23,0.98,553,14,539
M7005,MA1AB100000000005,WO10005,SUV Pro,PAINT-1,STN-02,2026-03-01 06:06,ENG-1110,SUP-196,EMP272,TL-014,A,Valid,MC-101,480,478,2,1.16,592,9,583
M7006,MA1AB100000000006,WO10006,SUV Pro,GA-1,STN-03,2026-03-01 06:07,ENG-1433,SUP-089,EMP235,TL-006,,Valid,MC-102,480,469,11,1.16,600,6,594
M7007,MA1AB100000000007,WO10007,Hatch Z,GA-1,STN-04,2026-03-01 06:08,ENG-1040,SUP-142,EMP250,TL-081,C,Valid,MC-103,480,442,38,0.97,587,1,586
M7008,MA1AB100000000008,WO10008,Hatch Z,GA-2, stn-05 ,2026-03-01 06:10,ENG-1035,SUP-012,EMP216,TL-099,C,Valid,MC-104,480,439,41,1.13,550,9,541
M7009,MA1AB100000000009,WO10009,Sedan X,GA-2,Stn-03,2026-03-01 06:11,ENG-1051,SUP-098,EMP242,TL-059,C,Valid,MC-105,480,430,50,0.99,528,9,519
M7010,MA1AB100000000010,WO10010,Sedan X,PAINT-1,STN-03,2026-03-01 06:12,ENG-1107,SUP-172,EMP236,TL-090,A,Valid,MC-101,480,456,24,0.82,536,12,524
M7011,MA1AB100000000011,WO10011,Hatch Z,GA-2,STN-05,2026-03-01 06:13,ENG-1373,SUP-063,EMP183,TL-060,,Valid,MC-102,480,466,14,1.14,596,10,586
M7012,MA1AB100000000012,WO10012,SUV Pro,GA-2, stn-05 ,2026-03-01 06:15,ENG-1166,SUP-197,EMP128,TL-030,A,Valid,MC-103,480,477,3,0.82,525,8,517
M7013,MA1AB100000000013,WO10013,SUV Pro,TRIM-1,STN-03,2026-03-01 06:16,ENG-1033,SUP-055,EMP390,TL-092,C,Valid,MC-104,480,446,34,1.09,515,4,511
M7014,MA1AB100000000014,WO10014,Sedan X,TRIM-1,STN-04,2026-03-01 06:17,ENG-1452,SUP-165,EMP334,TL-019,C,Valid,MC-105,480,441,39,1.19,514,8,506
M7015,MA1AB100000000015,WO10015,Sedan X,GA-2, stn-05 ,2026-03-01 06:18,ENG-1287,SUP-138,EMP234,TL-096,,Valid,MC-101,480,432,48,0.96,485,12,473
