Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,Tool_Name,Tool_Type,Plant,Calibration_Date,Next_Due_Date,Status,Accuracy_%,Manufacturer,Serial_Number
M7000,XX1 2 3 4,WO10000,Hatch Z,GA-1,STN-01,2026/03/01 06:70, eng-1001 ,,EMP240,TL-032,B,Tool_32,Press Tool,Plant-A,2026-03-27,2026-06-25,Maintenance,97.67,Bosch,SN100031
M7001,MA1AB100000000001,WO10001,Sedan X,GA-1, stn-05 ,2026-03-01 06:01,ENG-1379,SUP-140,EMP144,TL-076,,Tool_76,Welding Gun,Plant-C,2026-02-22,2026-05-23,Maintenance,98.13,Ingersoll Rand,SN100075
M7002,MA1AB100000000002,WO10002,Sedan X,GA-1,STN-01,2026-03-01 06:02,ENG-1111,SUP-060,EMP358,TL-078,A,Tool_78,Press Tool,Plant-A,2026-03-26,2026-06-24,Maintenance,99.88,Bosch,SN100077
M7003,MA1AB100000000003,WO10003,Hatch Z,GA-2, stn-05 ,2026-03-01 06:03,ENG-1332,SUP-180,EMP379,TL-054,B,Tool_54,Press Tool,Plant-C,2026-01-18,2026-04-18,Active,99.35,Ingersoll Rand,SN100053
M7004,MA1AB100000000004,WO10004,SUV Pro,PAINT-1,Stn-03,2026-03-01 06:05,ENG-1445,SUP-002,EMP181,TL-090,,Tool_90,Nut Runner,Plant-C,2026-05-12,2026-08-10,Out of Service,97.28,Stanley,SN100089
M7005,MA1AB100000000005,WO10005,SUV Pro,PAINT-1,STN-02,2026-03-01 06:06,ENG-1110,SUP-196,EMP272,TL-014,A,Tool_14,Nut Runner,Plant-A,2026-02-27,2026-05-28,Maintenance,99.68,Stanley,SN100013
M7006,MA1AB100000000006,WO10006,SUV Pro,GA-1,STN-03,2026-03-01 06:07,ENG-1433,SUP-089,EMP235,TL-006,,Tool_6,Nut Runner,Plant-B,2026-01-25,2026-04-25,Maintenance,98.24,Ingersoll Rand,SN100005
M7007,MA1AB100000000007,WO10007,Hatch Z,GA-1,STN-04,2026-03-01 06:08,ENG-1040,SUP-142,EMP250,TL-081,C,Tool_81,Nut Runner,Plant-A,2026-06-21,2026-09-19,Maintenance,97.61,Atlas Copco,SN100080
M7008,MA1AB100000000008,WO10008,Hatch Z,GA-2, stn-05 ,2026-03-01 06:10,ENG-1035,SUP-012,EMP216,TL-099,C,Tool_99,Welding Gun,Plant-B,2026-05-20,2026-08-18,Active,97.05,Atlas Copco,SN100098
M7009,MA1AB100000000009,WO10009,Sedan X,GA-2,Stn-03,2026-03-01 06:11,ENG-1051,SUP-098,EMP242,TL-059,C,Tool_59,Robot Arm,Plant-B,2026-04-15,2026-07-14,Active,95.72,Stanley,SN100058
M7010,MA1AB100000000010,WO10010,Sedan X,PAINT-1,STN-03,2026-03-01 06:12,ENG-1107,SUP-172,EMP236,TL-090,A,Tool_90,Nut Runner,Plant-C,2026-05-12,2026-08-10,Out of Service,97.28,Stanley,SN100089
M7011,MA1AB100000000011,WO10011,Hatch Z,GA-2,STN-05,2026-03-01 06:13,ENG-1373,SUP-063,EMP183,TL-060,,Tool_60,Welding Gun,Plant-B,2026-02-09,2026-05-10,Active,95.55,Atlas Copco,SN100059
