Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,BOM_Status,VIN_Status
M7000,,WO10000,Hatch Z,GA-1,STN-01,2026-03-01 06:59,ENG-1001,,EMP240,TL-032,B,Valid,Invalid
M7001,*************0001,WO10001,Sedan X,GA-1,STN-05,2026-03-01 06:01,ENG-1379,SUP-140,EMP144,TL-076,,Valid,Valid
M7002,*************0002,WO10002,Sedan X,GA-1,STN-01,2026-03-01 06:59,ENG-1111,SUP-060,EMP358,TL-078,A,Valid,Valid
M7003,*************0003,WO10003,Hatch Z,GA-2,STN-05,2026-03-01 06:03,ENG-1332,SUP-180,EMP379,TL-054,B,Valid,Valid
M7004,*************0004,WO10004,SUV Pro,PAINT-1,STN-03,2026-03-01 06:05,ENG-1445,SUP-002,EMP181,TL-090,,Valid,Valid
M7005,*************0005,WO10005,SUV Pro,PAINT-1,STN-02,2026-03-01 06:06,ENG-1110,SUP-196,EMP272,TL-014,A,Valid,Valid
M7006,*************0006,WO10006,SUV Pro,GA-1,STN-03,2026-03-01 06:59,ENG-1433,SUP-089,EMP235,TL-006,,Valid,Valid
M7007,*************0007,WO10007,Hatch Z,GA-1,STN-04,2026-03-01 06:08,ENG-1040,SUP-142,EMP250,TL-081,C,Valid,Valid
M7008,*************0008,WO10008,Hatch Z,GA-2,STN-05,2026-03-01 06:10,ENG-1035,SUP-012,EMP216,TL-099,C,Valid,Valid
M7009,*************0009,WO10009,Sedan X,GA-2,STN-03,2026-03-01 06:11,ENG-1051,SUP-098,EMP242,TL-059,C,Valid,Valid
M7010,*************0010,WO10010,Sedan X,PAINT-1,STN-03,2026-03-01 06:12,ENG-1107,SUP-172,EMP236,TL-090,A,Valid,Valid
M7011,*************0011,WO10011,Hatch Z,GA-2,STN-05,2026-03-01 06:13,ENG-1373,SUP-063,EMP183,TL-060,,Valid,Valid
M7012,*************0012,WO10012,SUV Pro,GA-2,STN-05,2026-03-01 06:15,ENG-1166,SUP-197,EMP128,TL-030,A,Valid,Valid
M7013,*************0013,WO10013,SUV Pro,TRIM-1,STN-03,2026-03-01 06:16,ENG-1033,SUP-055,EMP390,TL-092,C,Valid,Valid
M7014,*************0014,WO10014,Sedan X,TRIM-1,STN-04,2026-03-01 06:17,ENG-1452,SUP-165,EMP334,TL-019,C,Valid,Valid
M7015,*************0015,WO10015,Sedan X,GA-2,STN-05,2026-03-01 06:18,ENG-1287,SUP-138,EMP234,TL-096,,Valid,Valid
M7016,*************0016,WO10016,Hatch Z,TRIM-1,STN-03,2026-03-01 06:20,ENG-1112,SUP-036,EMP360,TL-064,A,Valid,Valid
M7017,*************0017,WO10017,Sedan X,GA-1,STN-02,2026-03-01 06:21,ENG-1321,SUP-041,EMP316,TL-077,A,Valid,Valid
M7018,*************0018,WO10018,SUV Pro,TRIM-1,STN-05,2026-03-01 06:22,ENG-1239,SUP-136,EMP228,TL-071,A,Valid,Valid
M7019,*************0019,WO10019,Hatch Z,GA-1,STN-05,2026-03-01 06:23,ENG-1453,SUP-138,EMP236,TL-099,C,Valid,Valid
