Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift
M7000,XX1 **3 4,WO10000,Hatch Z,GA-1,STN-01,2026/03/01 06:70, eng-1001 ,,EMP240,TL-032,B
M7001,MA1A**********001,WO10001,Sedan X,GA-1, stn-05 ,2026-03-01 6:01,ENG-1379,SUP-140,EMP144,TL-076,
M7002,MA1A**********002,WO10002,Sedan X,GA-1,STN-01,2026-03-01 06:2,ENG-1111,SUP-060,EMP358,TL-078,A
M7003,MA1A**********003,WO10003,Hatch Z,GA-2, stn-05 ,2026-03-01 06:03,ENG-1332,SUP-180,EMP379,TL-054,B
M7004,MA1A**********004,WO10004,SUV Pro,PAINT-1,Stn-03,2026-03-01 06:05,ENG-1445,SUP-002,EMP181,TL-090,
M7005,MA1A**********005,WO10005,SUV Pro,PAINT-1,STN-02,2026-03-01 06:06,ENG-1110,SUP-196,EMP272,TL-014,A
M7006,MA1A**********006,WO10006,SUV Pro,GA-1,STN-03,2026-03-01 06:7,ENG-1433,SUP-089,EMP235,TL-006,
M7007,MA1A**********007,WO10007,Hatch Z,GA-1,STN-04,2026-03-01 06:08,ENG-1040,SUP-142,EMP250,TL-081,C
M7008,MA1A**********008,WO10008,Hatch Z,GA-2, stn-05 ,2026-03-01 06:10,ENG-1035,SUP-012,EMP216,TL-099,C
M7009,MA1A**********009,WO10009,Sedan X,GA-2,Stn-03,2026-03-01 06:11,ENG-1051,SUP-098,EMP242,TL-059,C
M7010,MA1A**********010,WO10010,Sedan X,PAINT-1,STN-03,2026-03-01 06:12,ENG-1107,SUP-172,EMP236,TL-090,A
M7011,MA1A**********011,WO10011,Hatch Z,GA-2,STN-05,2026-03-01 06:13,ENG-1373,SUP-063,EMP183,TL-060,
M7012,MA1A**********012,WO10012,SUV Pro,GA-2, stn-05 ,2026-03-01 06:15,ENG-1166,SUP-197,EMP128,TL-030,A
M7013,MA1A**********013,WO10013,SUV Pro,TRIM-1,STN-03,2026-03-01 06:16,ENG-1033,SUP-055,EMP390,TL-092,C
M7014,MA1A**********014,WO10014,Sedan X,TRIM-1,STN-04,2026-03-01 06:17,ENG-1452,SUP-165,EMP334,TL-019,C
