Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,BOM_Status,Machine_ID,Planned_Time_Minutes,Run_Time_Minutes,Downtime_Minutes,Ideal_Cycle_Time,Total_Units,Reject_Units,Good_Units,Availability,Performance,Quality,OEE,OEE (%)
M7000,XX1 2 3 4,WO10000,Hatch Z,GA-1,STN-01,2026/03/01 06:70,ENG-1001,,EMP240,TL-032,B,Valid,MC-101,480,460,20,1.12,562,7,555,0.9583333333333334,1.3683478260869566,0.9875444839857651,1.2950000000000002,129.5
M7001,MA1AB100000000001,WO10001,Sedan X,GA-1, stn-05 ,2026-03-01 06:01,ENG-1379,SUP-140,EMP144,TL-076,,Valid,MC-102,480,464,16,1.09,579,3,576,0.9666666666666667,1.3601508620689655,0.9948186528497409,1.3079999999999998,130.8
M7002,MA1AB100000000002,WO10002,Sedan X,GA-1,STN-01,2026-03-01 06:02,ENG-1111,SUP-060,EMP358,TL-078,A,Valid,MC-103,480,472,8,0.83,599,3,596,0.9833333333333333,1.0533262711864406,0.994991652754591,1.0305833333333334,103.06
M7003,MA1AB100000000003,WO10003,Hatch Z,GA-2, stn-05 ,2026-03-01 06:03,ENG-1332,SUP-180,EMP379,TL-054,B,Valid,MC-104,480,461,19,0.96,576,9,567,0.9604166666666667,1.199479392624729,0.984375,1.1340000000000001,113.4
M7004,MA1AB100000000004,WO10004,SUV Pro,PAINT-1,Stn-03,2026-03-01 06:05,ENG-1445,SUP-002,EMP181,TL-090,,Valid,MC-105,480,457,23,0.98,553,14,539,0.9520833333333333,1.1858643326039386,0.9746835443037974,1.100458333333333,110.05
M7005,MA1AB100000000005,WO10005,SUV Pro,PAINT-1,STN-02,2026-03-01 06:06,ENG-1110,SUP-196,EMP272,TL-014,A,Valid,MC-101,480,478,2,1.16,592,9,583,0.9958333333333333,1.4366527196652719,0.9847972972972973,1.4089166666666664,140.89
M7006,MA1AB100000000006,WO10006,SUV Pro,GA-1,STN-03,2026-03-01 06:07,ENG-1433,SUP-089,EMP235,TL-006,,Valid,MC-102,480,469,11,1.16,600,6,594,0.9770833333333333,1.4840085287846483,0.99,1.4355,143.55
M7007,MA1AB100000000007,WO10007,Hatch Z,GA-1,STN-04,2026-03-01 06:08,ENG-1040,SUP-142,EMP250,TL-081,C,Valid,MC-103,480,442,38,0.97,587,1,586,0.9208333333333333,1.2882126696832579,0.9982964224872232,1.184208333333333,118.42
M7008,MA1AB100000000008,WO10008,Hatch Z,GA-2, stn-05 ,2026-03-01 06:10,ENG-1035,SUP-012,EMP216,TL-099,C,Valid,MC-104,480,439,41,1.13,550,9,541,0.9145833333333333,1.4157175398633255,0.9836363636363636,1.2736041666666664,127.36
M7009,MA1AB100000000009,WO10009,Sedan X,GA-2,Stn-03,2026-03-01 06:11,ENG-1051,SUP-098,EMP242,TL-059,C,Valid,MC-105,480,430,50,0.99,528,9,519,0.8958333333333334,1.2156279069767442,0.9829545454545454,1.0704375,107.04
M7010,MA1AB100000000010,WO10010,Sedan X,PAINT-1,STN-03,2026-03-01 06:12,ENG-1107,SUP-172,EMP236,TL-090,A,Valid,MC-101,480,456,24,0.82,536,12,524,0.95,0.963859649122807,0.9776119402985075,0.8951666666666667,89.52
M7011,MA1AB100000000011,WO10011,Hatch Z,GA-2,STN-05,2026-03-01 06:13,ENG-1373,SUP-063,EMP183,TL-060,,Valid,MC-102,480,466,14,1.14,596,10,586,0.9708333333333333,1.4580257510729613,0.9832214765100671,1.39175,139.18
M7012,MA1AB100000000012,WO10012,SUV Pro,GA-2, stn-05 ,2026-03-01 06:15,ENG-1166,SUP-197,EMP128,TL-030,A,Valid,MC-103,480,477,3,0.82,525,8,517,0.99375,0.9025157232704403,0.9847619047619047,0.8832083333333334,88.32
M7013,MA1AB100000000013,WO10013,SUV Pro,TRIM-1,STN-03,2026-03-01 06:16,ENG-1033,SUP-055,EMP390,TL-092,C,Valid,MC-104,480,446,34,1.09,515,4,511,0.9291666666666667,1.2586322869955158,0.9922330097087378,1.1603958333333335,116.04
M7014,MA1AB100000000014,WO10014,Sedan X,TRIM-1,STN-04,2026-03-01 06:17,ENG-1452,SUP-165,EMP334,TL-019,C,Valid,MC-105,480,441,39,1.19,514,8,506,0.91875,1.386984126984127,0.9844357976653697,1.2544583333333332,125.45
M7015,MA1AB100000000015,WO10015,Sedan X,GA-2, stn-05 ,2026-03-01 06:18,ENG-1287,SUP-138,EMP234,TL-096,,Valid,MC-101,480,432,48,0.96,485,12,473,0.9,1.0777777777777777,0.9752577319587629,0.946,94.6
M7016,MA1AB100000000016,WO10016,Hatch Z,TRIM-1,STN-03,2026-03-01 06:20,ENG-1112,SUP-036,EMP360,TL-064,A,Valid,MC-102,480,457,23,1.19,461,7,454,0.9520833333333333,1.2004157549234136,0.9848156182212582,1.1255416666666667,112.55
M7017,MA1AB100000000017,WO10017,Sedan X,GA-1,STN-02,2026-03-01 06:21,ENG-1321,SUP-041,EMP316,TL-077,A,Valid,MC-103,480,475,5,1.07,553,7,546,0.9895833333333334,1.2457052631578949,0.9873417721518988,1.2171250000000002,121.71
M7018,MA1AB100000000018,WO10018,SUV Pro,TRIM-1,STN-05,2026-03-01 06:22,ENG-1239,SUP-136,EMP228,TL-071,A,Valid,MC-104,480,474,6,1.07,459,2,457,0.9875,1.0361392405063292,0.9956427015250545,1.018729166666667,101.87
M7019,MA1AB100000000019,WO10019,Hatch Z,GA-1, stn-05 ,2026-03-01 06:23,ENG-1453,SUP-138,EMP236,TL-099,C,Valid,MC-105,480,430,50,1.08,471,7,464,0.8958333333333334,1.1829767441860466,0.9851380042462845,1.0440000000000003,104.4
M7020,MA1AB100000000020,WO10020,Sedan X,PAINT-1,STN-04,2026-03-01 06:25,ENG-1080,SUP-117,EMP101,TL-093,C,Valid,MC-101,480,450,30,1.14,460,7,453,0.9375,1.1653333333333333,0.9847826086956522,1.075875,107.59
M7021,MA1AB100000000021,WO10021,Hatch Z,GA-2,STN-05,2026-03-01 06:26,ENG-1467,SUP-028,EMP252,TL-082,B,Valid,MC-102,480,468,12,1.08,589,7,582,0.975,1.3592307692307692,0.9881154499151104,1.3095,130.95
M7022,MA1AB100000000022,WO10022,Sedan X,PAINT-1,Stn-03,2026-03-01 06:27,ENG-1082,SUP-139,EMP371,TL-001,C,Valid,MC-103,480,448,32,0.8,508,2,506,0.9333333333333333,0.9071428571428573,0.9960629921259843,0.8433333333333335,84.33
M7023,MA1AB100000000023,WO10023,SUV Pro,GA-1,STN-01,2026-03-01 06:28,ENG-1475,SUP-093,EMP257,TL-031,A,Valid,MC-104,480,451,29,1.05,594,7,587,0.9395833333333333,1.3829268292682928,0.9882154882154882,1.2840625,128.41
