Insp_ID,Event_ID,VIN,Source,Defect,Scrap_Code,Is_Rework
QI-1,EVT-11490,XX3868,Human-QA1,None,,False
QI-2,EVT-13584,XX3551,Cam-1,OK,,False
QI-3,EVT-13850,XX4706,Cam-1,None,,False
QI-4,EVT-14200,XX0055,Human-QA1,None,,False
QI-5,EVT-11481,XX1302,Human-QA1,None,,False
QI-6,EVT-11280,XX4509,Human-QA1,OK,S-03,False
QI-7,EVT-13942,XX3912,Cam-1,None,,False
QI-8,EVT-14854,XX3468,Cam-1,None,,False
QI-9,EVT-10874,XX1495,Cam-1,OK,,False
QI-10,EVT-10111,XX4134,Human-QA1,None,,False
QI-11,EVT-10201,XX3704,Human-QA1,None,S-01,False
QI-12,EVT-14713,XX4866,Human-QA2,None,,False
QI-13,EVT-12653,XX0183,Cam-2,na,,False
QI-14,EVT-10994,XX1237,Cam-2,None,,False
QI-15,EVT-14120,XX4222,Cam-1,OK,,False
QI-16,EVT-14752,XX4236,Cam-1,None,,False
QI-17,EVT-11531,XX0621,Cam-2,None,,False
QI-18,EVT-11389,XX1545,Cam-1,None,,False
QI-19,EVT-10530,XX4128,Human-QA1,None,,False
QI-20,EVT-11617,XX0235,Cam-2,None,,False
QI-21,EVT-14141,XX0073,Human-QA1,None,,False
QI-22,EVT-10364,XX4568,Cam-2,None,,True
QI-23,EVT-13371,XX1790,Cam-2,None,,True
QI-24,EVT-12824,XX0628,Cam-1,None,,False
QI-25,EVT-11372,XX0668,Human-QA1,Reject,,False
QI-26,EVT-12857,XX4024,Human-QA1,None,,False
QI-27,EVT-12237,XX0594,Human-QA2,na,,False
QI-28,EVT-13474,XX2667,Human-QA1,None,,False
QI-29,EVT-14444,XX3813,Human-QA1,Reject,,False
QI-30,EVT-14468,XX2340,Cam-1,None,,False
QI-31,EVT-13576,XX3360,Human-QA2,None,S-01,False
QI-32,EVT-13362,XX2261,Human-QA1,None,,False
QI-33,EVT-14043,XX4263,Cam-1,None,,False
QI-34,EVT-13975,XX0969,Cam-2,None,,False
QI-35,EVT-10984,XX2028,Human-QA1,None,,False
QI-36,EVT-12158,XX0179,Cam-1,None,,False
QI-37,EVT-11526,XX2052,Cam-2,None,,False
QI-38,EVT-13372,XX4432,Human-QA1,None,,False
QI-39,EVT-11036,XX0195,Human-QA1,None,,False
QI-40,EVT-14618,XX3536,Cam-1,Reject,,False
QI-41,EVT-13173,XX2941,Cam-2,None,,False
QI-42,EVT-11989,XX2818,Cam-2,Repair,,False
QI-43,EVT-12244,XX3629,Cam-2,na,S-03,False
QI-44,EVT-12102,XX1232,Cam-2,None,,False
