Inspection_ID,Event_ID,VIN,Defect_Code,Defect,Inspection_Source,Inspector_ID,Rework_Flag,Scrap_Reason,Result
INSP10000,M7315,XX1 2 3 4,D003, ok ,Unknown,INS69,N,,FAIL
INSP10001,M11905,MA1AB100000004081,NONE,OK,Unknown,INS83,N,Material,FAIL
INSP10002,M10227,MA1AB100000001443,D001,OK,Unknown,INS58,Y,,PASS
INSP10003,M11197,MA1AB100000004063,D002,,Unknown,INS83,Y,Dimension,PASS
INSP10004,M7400,MA1AB100000004745,D001,Reject,Unknown,INS31,N,Weld,PASS
INSP10005,M11278,MA1AB100000000844,NONE, ok ,Unknown,INS22,N,Weld,FAIL
INSP10006,M11332,MA1AB100000003594,D002,Reject,Unknown,INS50,Y,Material,FAIL
INSP10007,M10015,MA1AB100000001523,NONE,OK,Unknown,INS48,N,Weld,FAIL
INSP10008,M7338,MA1AB100000003875,D004,reject,Unknown,INS55,Y,,PASS
INSP10009,M11702,MA1AB100000002519,D001, ok ,Unknown,INS66,Y,Paint,PASS
INSP10010,M7866,MA1AB100000001018,D002, ok ,Unknown,INS53,Y,Material,FAIL
INSP10011,M9121,MA1AB100000003737,D003,,Unknown,INS14,Y,Paint,FAIL
INSP10012,M8589,MA1AB100000004715,D004,Repair,Unknown,INS51,N,Weld,PASS
INSP10013,M8522,MA1AB100000004403,D002,Reject,Unknown,INS95,Y,Weld,PASS
INSP10014,M9829,MA1AB100000001538,D002,,Unknown,INS38,Y,Dimension,PASS
INSP10015,M7786,MA1AB100000000222,D001,reject,Unknown,INS84,N,Weld,PASS
INSP10016,M8064,MA1AB100000003677,D004,Reject,Unknown,INS10,Y,Paint,PASS
INSP10017,M11638,MA1AB100000003403,D002,,Unknown,INS23,Y,Paint,FAIL
INSP10018,M7953,MA1AB100000002690,D003,Repair,Unknown,INS79,Y,Paint,PASS
INSP10019,M8937,MA1AB100000000359,D001,Repair,Unknown,INS99,N,,FAIL
INSP10020,M9782,MA1AB100000001165,D003,Reject,Unknown,INS36,N,Paint,FAIL
INSP10021,M11665,MA1AB100000003639,D003, ok ,Unknown,INS66,N,Material,FAIL
INSP10022,M11499,MA1AB100000004997,D004, ok ,Unknown,INS76,Y,Paint,PASS
INSP10023,M11967,MA1AB100000000203,D001, ok ,Unknown,INS93,Y,Paint,PASS
INSP10024,M11231,MA1AB100000000494,D003,Reject,Unknown,INS69,N,Weld,PASS
INSP10025,M9800,MA1AB100000003755,D004, ok ,Unknown,INS73,Y,,FAIL
INSP10026,M9934,MA1AB100000002726,D003,OK,Unknown,INS99,N,Weld,FAIL
INSP10027,M8726,MA1AB100000001938,D004,Reject,Unknown,INS48,N,Paint,FAIL
INSP10028,M11318,MA1AB100000000398,D002,Repair,Unknown,INS29,Y,Paint,PASS
INSP10029,M11822,MA1AB100000004157,D002,Repair,Unknown,INS59,Y,Weld,PASS
INSP10030,M11222,MA1AB100000002970,D002,OK,Unknown,INS49,N,,PASS
INSP10031,M11675,MA1AB100000004242,D004,OK,Unknown,INS83,N,Dimension,FAIL
INSP10032,M11445,MA1AB100000000872,D001, ok ,Unknown,INS71,Y,Weld,PASS
INSP10033,M8684,MA1AB100000003670,D001, ok ,Unknown,INS71,Y,Paint,FAIL
INSP10034,M7057,MA1AB100000000674,D003,Repair,Unknown,INS21,N,Paint,PASS
INSP10035,M9919,MA1AB100000001679,D003,OK,Unknown,INS69,Y,,PASS
INSP10036,M8794,MA1AB100000000855,D002,reject,Unknown,INS41,Y,Dimension,PASS
INSP10037,M7908,MA1AB100000000814,D003,OK,Unknown,INS88,Y,Weld,FAIL
INSP10038,M10259,MA1AB100000004980,D002,Reject,Unknown,INS72,N,Dimension,FAIL
INSP10039,M10764,MA1AB100000003053,NONE, ok ,Unknown,INS66,N,Dimension,PASS
INSP10040,M11280,MA1AB100000001266,D004,OK,Unknown,INS24,Y,Dimension,PASS
INSP10041,M10780,MA1AB100000000859,D001,OK,Unknown,INS98,N,Paint,FAIL
INSP10042,M7090,MA1AB100000001980,D003,Repair,Unknown,INS60,Y,Paint,PASS
INSP10043,M11284,MA1AB100000004908,D001, ok ,Unknown,INS65,Y,,PASS
INSP10044,M7842,MA1AB100000004571,NONE,,Unknown,INS55,N,Weld,FAIL
INSP10045,M10486,MA1AB100000004448,D001,,Unknown,INS13,Y,,PASS
INSP10046,M10499,MA1AB100000002219,D003,reject,Unknown,INS13,N,Dimension,FAIL
INSP10047,M7265,MA1AB100000001023,D004,Repair,Unknown,INS50,Y,Weld,PASS
INSP10048,M8772,MA1AB100000004442,D001,,Unknown,INS56,N,Weld,PASS
INSP10049,M11061,MA1AB100000002927,NONE,Reject,Unknown,INS66,N,Dimension,FAIL
INSP10050,M8421,MA1AB100000001817,NONE, ok ,Unknown,INS43,N,Dimension,PASS
INSP10051,M9578,MA1AB100000002624,D003,OK,Unknown,INS80,N,Weld,FAIL
INSP10052,M10298,MA1AB100000000289,D001, ok ,Unknown,INS31,N,Paint,FAIL
INSP10053,M9621,MA1AB100000001270,NONE,reject,Unknown,INS62,Y,Weld,PASS
