Reading_ID,Event_ID,Tool_Mac,Torque,Temp
SR-1,EVT-12441,AA:BB:CC:00:44,43.4,81.4
SR-2,EVT-12686,AA:BB:CC:00:65,42.4,82.2
SR-3,EVT-14996,AA:BB:CC:00:14,41.7,87.7
SR-4,EVT-12069,AA:BB:CC:00:91,47.1,82.3
SR-5,EVT-10535,AA:BB:CC:00:26,45.3,79.7
SR-6,EVT-10381,AA:BB:CC:00:32,48.6,85.9
SR-7,EVT-12407,AA:BB:CC:00:02,43.5,82.5
SR-8,EVT-13062,AA:BB:CC:00:16,46.4,83.9
SR-9,EVT-12210,AA:BB:CC:00:92,42.3,87.0
SR-10,EVT-13187,AA:BB:CC:00:49,47.1,90.7
SR-11,EVT-11206,AA:BB:CC:00:90,42.8,86.6
SR-12,EVT-14038,AA:BB:CC:00:75,44.0,83.4
SR-13,EVT-10274,AA:BB:CC:00:23,44.7,86.5
SR-14,EVT-14521,AA:BB:CC:00:94,46.1,88.0
SR-15,EVT-14013,AA:BB:CC:00:60,46.4,92.8
SR-16,EVT-13399,AA:BB:CC:00:95,46.2,84.9
SR-17,EVT-13872,AA:BB:CC:00:66,46.1,80.2
SR-18,EVT-10389,AA:BB:CC:00:20,46.2,74.4
SR-19,EVT-10270,AA:BB:CC:00:93,44.6,87.0
SR-20,EVT-14164,AA:BB:CC:00:74,46.2,84.7
SR-21,EVT-13021,AA:BB:CC:00:18,44.1,84.8
SR-22,EVT-10456,AA:BB:CC:00:59,44.4,74.6
SR-23,EVT-10345,AA:BB:CC:00:31,44.5,90.0
SR-24,EVT-13551,AA:BB:CC:00:04,43.3,80.8
SR-25,EVT-13327,AA:BB:CC:00:27,46.2,87.0
SR-26,EVT-14869,AA:BB:CC:00:18,46.5,93.2
SR-27,EVT-13456,AA:BB:CC:00:63,45.3,79.5
SR-28,EVT-11550,AA:BB:CC:00:95,42.2,89.9
SR-29,EVT-13873,AA:BB:CC:00:71,47.1,82.9
SR-30,EVT-12007,AA:BB:CC:00:19,44.1,85.7
SR-31,EVT-13757,AA:BB:CC:00:39,46.1,87.8
SR-32,EVT-11074,AA:BB:CC:00:66,46.1,80.9
SR-33,EVT-14040,AA:BB:CC:00:78,47.8,86.7
SR-34,EVT-12314,AA:BB:CC:00:100,45.2,85.5
SR-35,EVT-13562,AA:BB:CC:00:46,45.4,83.8
SR-36,EVT-14945,AA:BB:CC:00:92,48.5,185 F
SR-37,EVT-14587,AA:BB:CC:00:38,43.8,83.4
SR-38,EVT-13030,AA:BB:CC:00:67,47.6,78.7
SR-39,EVT-11832,AA:BB:CC:00:29,46.1,88.9
SR-40,EVT-12056,AA:BB:CC:00:91,47.6,80.8
SR-41,EVT-14006,AA:BB:CC:00:57,42.0,87.9
SR-42,EVT-14416,AA:BB:CC:00:48,43.4,75.9
SR-43,EVT-14467,AA:BB:CC:00:52,43.1,87.6
SR-44,EVT-12370,AA:BB:CC:00:48,42.6,76.2
