Reading_ID,Event_ID,Sensor_ID,Timestamp,Torque,Temperature,Pressure,Vibration_mm_s,Energy_kWh,Calibration_Factor_x,Torque_Nm,Torque_Status,Temperature_C,Temperature_Status,Calibration_Factor_y,Calibrated_Torque,Drift,Calibration_Status
RD000001,M10346,SEN-034,2026/03/01 06:00:00,,85C,4.5 bar,1.67,2.19,0.972,,Invalid,85.0,Valid,1.016,,,Out of Calibration
RD000002,M7955,SEN-037,2026-03-01 06:00:30,45.0,35 C,5.2 bar,6.63,5.67,0.988,45.0,Valid,35.0,Valid,1.028,46.26,1.26,Within Limit
RD000003,M10100,SEN-038,2026-03-01 06:01:00,60.0,85C,65 psi,3.17,3.04,0.987,60.0,Valid,85.0,Valid,0.981,58.86,-1.14,Within Limit
RD000004,M8302,SEN-008,2026-03-01 06:01:30,,35 C,4.5 bar,2.44,2.87,1.027,,Invalid,35.0,Valid,0.995,,,Out of Calibration
RD000005,M9373,SEN-003,2026-03-01 06:02:00,,104 F,4.5 bar,4.16,7.38,0.981,47.4537,Valid,40.0,Valid,0.997,,,Out of Calibration
RD000006,M9116,SEN-048,2026-03-01 06:02:30,50.0,35 C,4.5 bar,5.79,6.63,0.996,50.0,Valid,35.0,Valid,1.003,50.15,0.15,Within Limit
RD000007,M7309,SEN-048,2026-03-01 06:03:00,,85C,65 psi,3.27,4.03,0.997,97.61904,Valid,85.0,Valid,1.003,,,Out of Calibration
RD000008,M11428,SEN-010,2026-03-01 06:03:30,50.0,104 F,72 psi,8.45,6.02,1.03,50.0,Valid,40.0,Valid,1.006,50.3,0.3,Within Limit
RD000009,M7357,SEN-018,2026-03-01 06:04:00,50.0,35 C,5.2 bar,7.53,4.85,1.006,50.0,Valid,35.0,Valid,1.013,50.65,0.65,Within Limit
RD000010,M11554,SEN-035,2026-03-01 06:04:30,,95 F,5.2 bar,3.56,3.21,0.977,47.4537,Valid,35.0,Valid,1.026,,,Out of Calibration
RD000011,M8833,SEN-039,2026-03-01 06:05:00,,35 C,72 psi,6.51,5.57,0.998,97.61904,Valid,35.0,Valid,1.013,,,Out of Calibration
RD000012,M8168,SEN-012,2026-03-01 06:05:30,,85C,4.5 bar,5.34,2.7,1.009,97.61904,Valid,85.0,Valid,1.012,,,Out of Calibration
RD000013,M9228,SEN-005,2026-03-01 06:06:00,45.0,104 F,65 psi,1.68,4.43,1.011,45.0,Valid,40.0,Valid,0.994,44.73,-0.27,Within Limit
RD000014,M7497,SEN-018,2026-03-01 06:06:30,60.0,95 F,4.5 bar,8.47,6.13,1.017,60.0,Valid,35.0,Valid,1.013,60.78,0.78,Within Limit
RD000015,M9702,SEN-035,2026-03-01 06:07:00,60.0,35 C,65 psi,4.28,3.51,0.988,60.0,Valid,35.0,Valid,1.026,61.56,1.56,Within Limit
RD000016,M10684,SEN-005,2026-03-01 06:07:30,,95 F,5.2 bar,8.03,5.43,0.974,47.4537,Valid,35.0,Valid,0.994,,,Out of Calibration
RD000017,M10617,SEN-026,2026-03-01 06:08:00,,95 F,72 psi,0.9,7.27,1.016,97.61904,Valid,35.0,Valid,1.014,,,Out of Calibration
RD000018,M9282,SEN-048,2026-03-01 06:08:30,,,65 psi,2.22,5.76,1.004,,Invalid,,Invalid,1.003,,,Out of Calibration
RD000019,M7598,SEN-033,2026-03-01 06:09:00,,104 F,5.2 bar,8.41,3.89,0.978,47.4537,Valid,40.0,Valid,0.986,,,Out of Calibration
RD000020,M11892,SEN-024,2026-03-01 06:09:30,,35 C,65 psi,8.23,7.35,0.979,,Invalid,35.0,Valid,1.028,,,Out of Calibration
RD000021,M7039,SEN-006,2026-03-01 06:10:00,60.0,85C,72 psi,3.37,7.72,1.015,60.0,Valid,85.0,Valid,0.995,59.7,-0.3,Within Limit
RD000022,M11158,SEN-029,2026-03-01 06:10:30,50.0,40 C,5.2 bar,5.94,6.02,0.97,50.0,Valid,40.0,Valid,0.971,48.55,-1.45,Within Limit
RD000023,M9549,SEN-001,2026-03-01 06:11:00,,85C,5.2 bar,5.24,1.75,1.003,,Invalid,85.0,Valid,0.991,,,Out of Calibration
RD000024,M7632,SEN-008,2026-03-01 06:11:30,45.0,104 F,4.5 bar,5.5,2.81,0.978,45.0,Valid,40.0,Valid,0.995,44.78,-0.22,Within Limit
RD000025,M8324,SEN-044,2026-03-01 06:12:00,,85C,4.5 bar,2.87,4.95,0.989,,Invalid,85.0,Valid,0.975,,,Out of Calibration
RD000026,M9365,SEN-002,2026-03-01 06:12:30,45.0,40 C,4.5 bar,1.82,1.74,0.98,45.0,Valid,40.0,Valid,1.018,45.81,0.81,Within Limit
RD000027,M7947,SEN-011,2026-03-01 06:13:00,60.0,85C,65 psi,7.57,6.7,0.985,60.0,Valid,85.0,Valid,0.99,59.4,-0.6,Within Limit
RD000028,M9249,SEN-010,2026-03-01 06:13:30,,95 F,72 psi,6.58,1.73,1.027,47.4537,Valid,35.0,Valid,1.006,,,Out of Calibration
RD000029,M10933,SEN-012,2026-03-01 06:14:00,,104 F,72 psi,4.12,6.42,1.011,47.4537,Valid,40.0,Valid,1.012,,,Out of Calibration
RD000030,M10645,SEN-032,2026-03-01 06:14:30,60.0,104 F,72 psi,1.13,5.68,1.005,60.0,Valid,40.0,Valid,1.021,61.26,1.26,Within Limit
RD000031,M9062,SEN-015,2026-03-01 06:15:00,60.0,85C,5.2 bar,3.06,3.23,0.995,60.0,Valid,85.0,Valid,1.012,60.72,0.72,Within Limit
RD000032,M9507,SEN-003,2026-03-01 06:15:30,,,72 psi,1.01,2.23,1.002,47.4537,Valid,,Invalid,0.997,,,Out of Calibration
RD000033,M7159,SEN-012,2026-03-01 06:16:00,,40 C,65 psi,5.66,5.27,1.026,97.61904,Valid,40.0,Valid,1.012,,,Out of Calibration
RD000034,M10634,SEN-032,2026-03-01 06:16:30,45.0,,4.5 bar,2.63,5.39,1.015,45.0,Valid,,Invalid,1.021,45.94,0.94,Within Limit
RD000035,M9789,SEN-043,2026-03-01 06:17:00,45.0,95 F,5.2 bar,0.7,5.53,0.973,45.0,Valid,35.0,Valid,1.021,45.94,0.94,Within Limit
RD000036,M7598,SEN-020,2026-03-01 06:17:30,60.0,35 C,5.2 bar,3.86,0.96,0.984,60.0,Valid,35.0,Valid,0.985,59.1,-0.9,Within Limit
RD000037,M7219,SEN-023,2026-03-01 06:18:00,45.0,35 C,4.5 bar,0.35,6.26,1.003,45.0,Valid,35.0,Valid,1.015,45.68,0.68,Within Limit
RD000038,M11065,SEN-008,2026-03-01 06:18:30,,95 F,72 psi,2.1,7.13,1.002,,Invalid,35.0,Valid,0.995,,,Out of Calibration
RD000039,M7246,SEN-003,2026-03-01 06:19:00,45.0,104 F,4.5 bar,7.07,4.69,0.975,45.0,Valid,40.0,Valid,0.997,44.86,-0.14,Within Limit
RD000040,M11948,SEN-050,2026-03-01 06:19:30,50.0,85C,72 psi,4.84,0.9,0.999,50.0,Valid,85.0,Valid,0.995,49.75,-0.25,Within Limit
RD000041,M11839,SEN-034,2026-03-01 06:20:00,,40 C,4.5 bar,4.62,1.35,1.002,97.61904,Valid,40.0,Valid,1.016,,,Out of Calibration
RD000042,M8094,SEN-014,2026-03-01 06:20:30,45.0,95 F,65 psi,2.52,6.55,1.026,45.0,Valid,35.0,Valid,1.026,46.17,1.17,Within Limit
RD000043,M9814,SEN-006,2026-03-01 06:21:00,,,72 psi,5.98,0.7,0.982,,Invalid,,Invalid,0.995,,,Out of Calibration
RD000044,M7114,SEN-045,2026-03-01 06:21:30,,104 F,72 psi,1.34,3.46,0.982,97.61904,Valid,40.0,Valid,0.976,,,Out of Calibration
RD000045,M11659,SEN-021,2026-03-01 06:22:00,60.0,95 F,72 psi,7.24,7.08,0.993,60.0,Valid,35.0,Valid,1.01,60.6,0.6,Within Limit
RD000046,M10836,SEN-041,2026-03-01 06:22:30,,,65 psi,5.08,1.69,0.973,,Invalid,,Invalid,0.984,,,Out of Calibration
RD000047,M11000,SEN-046,2026-03-01 06:23:00,,85C,4.5 bar,8.19,2.8,1.014,,Invalid,85.0,Valid,0.998,,,Out of Calibration
RD000048,M9362,SEN-037,2026-03-01 06:23:30,,,5.2 bar,3.98,5.11,1.029,,Invalid,,Invalid,1.028,,,Out of Calibration
RD000049,M11013,SEN-020,2026-03-01 06:24:00,50.0,,5.2 bar,2.9,2.56,0.971,50.0,Valid,,Invalid,0.985,49.25,-0.75,Within Limit
RD000050,M7706,SEN-027,2026-03-01 06:24:30,60.0,,5.2 bar,5.23,2.25,1.002,60.0,Valid,,Invalid,1.001,60.06,0.06,Within Limit
RD000051,M8655,SEN-032,2026-03-01 06:25:00,,,65 psi,1.4,7.32,0.988,47.4537,Valid,,Invalid,1.021,,,Out of Calibration
RD000052,M11501,SEN-040,2026-03-01 06:25:30,60.0,95 F,4.5 bar,3.29,1.08,0.973,60.0,Valid,35.0,Valid,0.982,58.92,-1.08,Within Limit
RD000053,M7692,SEN-036,2026-03-01 06:26:00,,,4.5 bar,6.45,4.63,1.029,47.4537,Valid,,Invalid,1.012,,,Out of Calibration
RD000054,M11087,SEN-023,2026-03-01 06:26:30,,40 C,4.5 bar,7.63,2.44,1.014,97.61904,Valid,40.0,Valid,1.015,,,Out of Calibration
RD000055,M10420,SEN-003,2026-03-01 06:27:00,,,4.5 bar,0.2,3.43,1.008,47.4537,Valid,,Invalid,0.997,,,Out of Calibration
RD000056,M9113,SEN-001,2026-03-01 06:27:30,50.0,35 C,72 psi,5.41,2.42,0.981,50.0,Valid,35.0,Valid,0.991,49.55,-0.45,Within Limit
RD000057,M7246,SEN-003,2026-03-01 06:28:00,50.0,95 F,72 psi,7.32,2.64,1.002,50.0,Valid,35.0,Valid,0.997,49.85,-0.15,Within Limit
RD000058,M9452,SEN-001,2026-03-01 06:28:30,60.0,40 C,4.5 bar,8.19,4.01,0.997,60.0,Valid,40.0,Valid,0.991,59.46,-0.54,Within Limit
RD000059,M11173,SEN-044,2026-03-01 06:29:00,50.0,40 C,65 psi,6.06,3.27,1.02,50.0,Valid,40.0,Valid,0.975,48.75,-1.25,Within Limit
RD000060,M7169,SEN-010,2026-03-01 06:29:30,,85C,72 psi,2.64,3.42,1.005,47.4537,Valid,85.0,Valid,1.006,,,Out of Calibration
RD000061,M8953,SEN-039,2026-03-01 06:30:00,60.0,95 F,4.5 bar,5.93,7.7,0.976,60.0,Valid,35.0,Valid,1.013,60.78,0.78,Within Limit
RD000062,M8438,SEN-040,2026-03-01 06:30:30,60.0,85C,4.5 bar,5.79,7.48,0.977,60.0,Valid,85.0,Valid,0.982,58.92,-1.08,Within Limit
RD000063,M7419,SEN-010,2026-03-01 06:31:00,,35 C,4.5 bar,5.97,0.84,0.978,,Invalid,35.0,Valid,1.006,,,Out of Calibration
RD000064,M9086,SEN-041,2026-03-01 06:31:30,45.0,104 F,65 psi,7.79,5.85,0.982,45.0,Valid,40.0,Valid,0.984,44.28,-0.72,Within Limit
RD000065,M7254,SEN-048,2026-03-01 06:32:00,,40 C,72 psi,7.51,0.77,0.977,,Invalid,40.0,Valid,1.003,,,Out of Calibration
RD000066,M10041,SEN-030,2026-03-01 06:32:30,,85C,5.2 bar,3.2,1.48,1.012,,Invalid,85.0,Valid,0.997,,,Out of Calibration
RD000067,M7665,SEN-032,2026-03-01 06:33:00,45.0,35 C,72 psi,2.2,2.52,0.992,45.0,Valid,35.0,Valid,1.021,45.94,0.94,Within Limit
RD000068,M9891,SEN-044,2026-03-01 06:33:30,60.0,85C,65 psi,0.41,3.99,0.992,60.0,Valid,85.0,Valid,0.975,58.5,-1.5,Within Limit
RD000069,M8385,SEN-021,2026-03-01 06:34:00,50.0,95 F,65 psi,6.24,2.07,1.003,50.0,Valid,35.0,Valid,1.01,50.5,0.5,Within Limit
RD000070,M7214,SEN-043,2026-03-01 06:34:30,60.0,95 F,72 psi,6.79,7.89,0.993,60.0,Valid,35.0,Valid,1.021,61.26,1.26,Within Limit
RD000071,M7761,SEN-029,2026-03-01 06:35:00,,85C,5.2 bar,7.78,0.82,1.028,97.61904,Valid,85.0,Valid,0.971,,,Out of Calibration
RD000072,M7709,SEN-048,2026-03-01 06:35:30,50.0,40 C,65 psi,0.79,6.35,1.01,50.0,Valid,40.0,Valid,1.003,50.15,0.15,Within Limit
RD000073,M7137,SEN-017,2026-03-01 06:36:00,45.0,85C,72 psi,8.24,6.99,1.006,45.0,Valid,85.0,Valid,0.98,44.1,-0.9,Within Limit
RD000074,M9819,SEN-042,2026-03-01 06:36:30,,40 C,5.2 bar,1.43,5.65,1.007,47.4537,Valid,40.0,Valid,0.976,,,Out of Calibration
RD000075,M7569,SEN-011,2026-03-01 06:37:00,45.0,85C,65 psi,2.78,5.99,0.975,45.0,Valid,85.0,Valid,0.99,44.55,-0.45,Within Limit
RD000076,M8880,SEN-009,2026-03-01 06:37:30,45.0,,72 psi,7.36,3.44,1.013,45.0,Valid,,Invalid,1.016,45.72,0.72,Within Limit
RD000077,M9032,SEN-040,2026-03-01 06:38:00,45.0,85C,5.2 bar,0.68,2.66,1.012,45.0,Valid,85.0,Valid,0.982,44.19,-0.81,Within Limit
RD000078,M9929,SEN-013,2026-03-01 06:38:30,50.0,40 C,65 psi,5.35,6.54,1.014,50.0,Valid,40.0,Valid,1.003,50.15,0.15,Within Limit
RD000079,M8524,SEN-027,2026-03-01 06:39:00,50.0,85C,72 psi,7.74,5.12,0.979,50.0,Valid,85.0,Valid,1.001,50.05,0.05,Within Limit
RD000080,M8992,SEN-003,2026-03-01 06:39:30,,35 C,65 psi,5.04,0.53,0.995,,Invalid,35.0,Valid,0.997,,,Out of Calibration
RD000081,M10563,SEN-028,2026-03-01 06:40:00,,104 F,72 psi,4.71,5.1,0.993,,Invalid,40.0,Valid,1.028,,,Out of Calibration
RD000082,M11688,SEN-034,2026-03-01 06:40:30,60.0,35 C,72 psi,0.68,7.07,0.997,60.0,Valid,35.0,Valid,1.016,60.96,0.96,Within Limit
RD000083,M10991,SEN-048,2026-03-01 06:41:00,60.0,104 F,72 psi,3.59,5.94,0.995,60.0,Valid,40.0,Valid,1.003,60.18,0.18,Within Limit
RD000084,M8302,SEN-032,2026-03-01 06:41:30,45.0,40 C,5.2 bar,1.64,4.45,0.997,45.0,Valid,40.0,Valid,1.021,45.94,0.94,Within Limit
RD000085,M7591,SEN-032,2026-03-01 06:42:00,45.0,,65 psi,4.88,6.17,1.018,45.0,Valid,,Invalid,1.021,45.94,0.94,Within Limit
RD000086,M9947,SEN-033,2026-03-01 06:42:30,50.0,35 C,4.5 bar,6.1,1.89,0.992,50.0,Valid,35.0,Valid,0.986,49.3,-0.7,Within Limit
RD000087,M10210,SEN-012,2026-03-01 06:43:00,,40 C,72 psi,3.1,0.67,1.027,47.4537,Valid,40.0,Valid,1.012,,,Out of Calibration
RD000088,M8386,SEN-045,2026-03-01 06:43:30,,104 F,72 psi,7.7,5.56,0.982,47.4537,Valid,40.0,Valid,0.976,,,Out of Calibration
RD000089,M8861,SEN-008,2026-03-01 06:44:00,,95 F,72 psi,3.68,3.21,1.017,47.4537,Valid,35.0,Valid,0.995,,,Out of Calibration
RD000090,M10771,SEN-031,2026-03-01 06:44:30,,40 C,72 psi,4.4,5.95,1.01,,Invalid,40.0,Valid,1.019,,,Out of Calibration
RD000091,M11532,SEN-039,2026-03-01 06:45:00,,95 F,4.5 bar,4.15,2.2,0.988,,Invalid,35.0,Valid,1.013,,,Out of Calibration
RD000092,M10659,SEN-041,2026-03-01 06:45:30,,85C,5.2 bar,2.81,5.01,0.98,,Invalid,85.0,Valid,0.984,,,Out of Calibration
RD000093,M8741,SEN-027,2026-03-01 06:46:00,,40 C,5.2 bar,3.94,3.37,0.988,47.4537,Valid,40.0,Valid,1.001,,,Out of Calibration
RD000094,M8304,SEN-027,2026-03-01 06:46:30,60.0,,4.5 bar,0.9,5.32,0.974,60.0,Valid,,Invalid,1.001,60.06,0.06,Within Limit
RD000095,M9742,SEN-022,2026-03-01 06:47:00,,,4.5 bar,1.64,7.1,0.984,97.61904,Valid,,Invalid,1.021,,,Out of Calibration
RD000096,M7617,SEN-049,2026-03-01 06:47:30,,95 F,5.2 bar,4.77,7.04,0.99,,Invalid,35.0,Valid,0.975,,,Out of Calibration
RD000097,M7017,SEN-045,2026-03-01 06:48:00,,85C,4.5 bar,0.49,4.08,0.979,97.61904,Valid,85.0,Valid,0.976,,,Out of Calibration
RD000098,M10877,SEN-036,2026-03-01 06:48:30,,40 C,65 psi,5.24,6.91,0.972,47.4537,Valid,40.0,Valid,1.012,,,Out of Calibration
RD000099,M9840,SEN-001,2026-03-01 06:49:00,,95 F,5.2 bar,7.69,2.73,1.013,97.61904,Valid,35.0,Valid,0.991,,,Out of Calibration
RD000100,M11381,SEN-034,2026-03-01 06:49:30,,35 C,4.5 bar,8.34,3.01,1.002,47.4537,Valid,35.0,Valid,1.016,,,Out of Calibration
