Reading_ID,Event_ID,Sensor_ID,Timestamp,Torque,Temperature,Pressure,Vibration_mm_s,Energy_kWh,Calibration_Factor,Torque_Nm,Torque_Status,Temperature_C,Temperature_Status
RD000001,M10346,SEN-034,2026/03/01 06:00:00,,85C,4.5 bar,1.67,2.19,0.972,,Invalid,85.0,Valid
RD000002,M7955,SEN-037,2026-03-01 06:00:30,45 Nm,35 C,5.2 bar,6.63,5.67,0.988,45.0,Valid,35.0,Valid
RD000003,M10100,SEN-038,2026-03-01 06:01:00,60Nm,85C,65 psi,3.17,3.04,0.987,60.0,Valid,85.0,Valid
RD000004,M8302,SEN-008,2026-03-01 06:01:30,,35 C,4.5 bar,2.44,2.87,1.027,,Invalid,35.0,Valid
RD000005,M9373,SEN-003,2026-03-01 06:02:00,35 lb-ft,104 F,4.5 bar,4.16,7.38,0.981,47.4537,Valid,40.0,Valid
RD000006,M9116,SEN-048,2026-03-01 06:02:30,50 Nm,35 C,4.5 bar,5.79,6.63,0.996,50.0,Valid,35.0,Valid
RD000007,M7309,SEN-048,2026-03-01 06:03:00,72 lb-ft,85C,65 psi,3.27,4.03,0.997,97.61904,Valid,85.0,Valid
RD000008,M11428,SEN-010,2026-03-01 06:03:30,50 Nm,104 F,72 psi,8.45,6.02,1.03,50.0,Valid,40.0,Valid
RD000009,M7357,SEN-018,2026-03-01 06:04:00,50 Nm,35 C,5.2 bar,7.53,4.85,1.006,50.0,Valid,35.0,Valid
RD000010,M11554,SEN-035,2026-03-01 06:04:30,35 lb-ft,95 F,5.2 bar,3.56,3.21,0.977,47.4537,Valid,35.0,Valid
RD000011,M8833,SEN-039,2026-03-01 06:05:00,72 lb-ft,35 C,72 psi,6.51,5.57,0.998,97.61904,Valid,35.0,Valid
RD000012,M8168,SEN-012,2026-03-01 06:05:30,72 lb-ft,85C,4.5 bar,5.34,2.7,1.009,97.61904,Valid,85.0,Valid
RD000013,M9228,SEN-005,2026-03-01 06:06:00,45 Nm,104 F,65 psi,1.68,4.43,1.011,45.0,Valid,40.0,Valid
RD000014,M7497,SEN-018,2026-03-01 06:06:30,60Nm,95 F,4.5 bar,8.47,6.13,1.017,60.0,Valid,35.0,Valid
RD000015,M9702,SEN-035,2026-03-01 06:07:00,60Nm,35 C,65 psi,4.28,3.51,0.988,60.0,Valid,35.0,Valid
RD000016,M10684,SEN-005,2026-03-01 06:07:30,35 lb-ft,95 F,5.2 bar,8.03,5.43,0.974,47.4537,Valid,35.0,Valid
RD000017,M10617,SEN-026,2026-03-01 06:08:00,72 lb-ft,95 F,72 psi,0.9,7.27,1.016,97.61904,Valid,35.0,Valid
RD000018,M9282,SEN-048,2026-03-01 06:08:30,,,65 psi,2.22,5.76,1.004,,Invalid,,Invalid
RD000019,M7598,SEN-033,2026-03-01 06:09:00,35 lb-ft,104 F,5.2 bar,8.41,3.89,0.978,47.4537,Valid,40.0,Valid
RD000020,M11892,SEN-024,2026-03-01 06:09:30,,35 C,65 psi,8.23,7.35,0.979,,Invalid,35.0,Valid
RD000021,M7039,SEN-006,2026-03-01 06:10:00,60Nm,85C,72 psi,3.37,7.72,1.015,60.0,Valid,85.0,Valid
RD000022,M11158,SEN-029,2026-03-01 06:10:30,50 Nm,40 C,5.2 bar,5.94,6.02,0.97,50.0,Valid,40.0,Valid
RD000023,M9549,SEN-001,2026-03-01 06:11:00,,85C,5.2 bar,5.24,1.75,1.003,,Invalid,85.0,Valid
RD000024,M7632,SEN-008,2026-03-01 06:11:30,45 Nm,104 F,4.5 bar,5.5,2.81,0.978,45.0,Valid,40.0,Valid
RD000025,M8324,SEN-044,2026-03-01 06:12:00,,85C,4.5 bar,2.87,4.95,0.989,,Invalid,85.0,Valid
RD000026,M9365,SEN-002,2026-03-01 06:12:30,45 Nm,40 C,4.5 bar,1.82,1.74,0.98,45.0,Valid,40.0,Valid
RD000027,M7947,SEN-011,2026-03-01 06:13:00,60Nm,85C,65 psi,7.57,6.7,0.985,60.0,Valid,85.0,Valid
RD000028,M9249,SEN-010,2026-03-01 06:13:30,35 lb-ft,95 F,72 psi,6.58,1.73,1.027,47.4537,Valid,35.0,Valid
RD000029,M10933,SEN-012,2026-03-01 06:14:00,35 lb-ft,104 F,72 psi,4.12,6.42,1.011,47.4537,Valid,40.0,Valid
RD000030,M10645,SEN-032,2026-03-01 06:14:30,60Nm,104 F,72 psi,1.13,5.68,1.005,60.0,Valid,40.0,Valid
RD000031,M9062,SEN-015,2026-03-01 06:15:00,60Nm,85C,5.2 bar,3.06,3.23,0.995,60.0,Valid,85.0,Valid
RD000032,M9507,SEN-003,2026-03-01 06:15:30,35 lb-ft,,72 psi,1.01,2.23,1.002,47.4537,Valid,,Invalid
RD000033,M7159,SEN-012,2026-03-01 06:16:00,72 lb-ft,40 C,65 psi,5.66,5.27,1.026,97.61904,Valid,40.0,Valid
RD000034,M10634,SEN-032,2026-03-01 06:16:30,45 Nm,,4.5 bar,2.63,5.39,1.015,45.0,Valid,,Invalid
RD000035,M9789,SEN-043,2026-03-01 06:17:00,45 Nm,95 F,5.2 bar,0.7,5.53,0.973,45.0,Valid,35.0,Valid
RD000036,M7598,SEN-020,2026-03-01 06:17:30,60Nm,35 C,5.2 bar,3.86,0.96,0.984,60.0,Valid,35.0,Valid
RD000037,M7219,SEN-023,2026-03-01 06:18:00,45 Nm,35 C,4.5 bar,0.35,6.26,1.003,45.0,Valid,35.0,Valid
RD000038,M11065,SEN-008,2026-03-01 06:18:30,,95 F,72 psi,2.1,7.13,1.002,,Invalid,35.0,Valid
RD000039,M7246,SEN-003,2026-03-01 06:19:00,45 Nm,104 F,4.5 bar,7.07,4.69,0.975,45.0,Valid,40.0,Valid
RD000040,M11948,SEN-050,2026-03-01 06:19:30,50 Nm,85C,72 psi,4.84,0.9,0.999,50.0,Valid,85.0,Valid
RD000041,M11839,SEN-034,2026-03-01 06:20:00,72 lb-ft,40 C,4.5 bar,4.62,1.35,1.002,97.61904,Valid,40.0,Valid
RD000042,M8094,SEN-014,2026-03-01 06:20:30,45 Nm,95 F,65 psi,2.52,6.55,1.026,45.0,Valid,35.0,Valid
RD000043,M9814,SEN-006,2026-03-01 06:21:00,,,72 psi,5.98,0.7,0.982,,Invalid,,Invalid
RD000044,M7114,SEN-045,2026-03-01 06:21:30,72 lb-ft,104 F,72 psi,1.34,3.46,0.982,97.61904,Valid,40.0,Valid
RD000045,M11659,SEN-021,2026-03-01 06:22:00,60Nm,95 F,72 psi,7.24,7.08,0.993,60.0,Valid,35.0,Valid
RD000046,M10836,SEN-041,2026-03-01 06:22:30,,,65 psi,5.08,1.69,0.973,,Invalid,,Invalid
RD000047,M11000,SEN-046,2026-03-01 06:23:00,,85C,4.5 bar,8.19,2.8,1.014,,Invalid,85.0,Valid
RD000048,M9362,SEN-037,2026-03-01 06:23:30,,,5.2 bar,3.98,5.11,1.029,,Invalid,,Invalid
RD000049,M11013,SEN-020,2026-03-01 06:24:00,50 Nm,,5.2 bar,2.9,2.56,0.971,50.0,Valid,,Invalid
RD000050,M7706,SEN-027,2026-03-01 06:24:30,60Nm,,5.2 bar,5.23,2.25,1.002,60.0,Valid,,Invalid
RD000051,M8655,SEN-032,2026-03-01 06:25:00,35 lb-ft,,65 psi,1.4,7.32,0.988,47.4537,Valid,,Invalid
RD000052,M11501,SEN-040,2026-03-01 06:25:30,60Nm,95 F,4.5 bar,3.29,1.08,0.973,60.0,Valid,35.0,Valid
RD000053,M7692,SEN-036,2026-03-01 06:26:00,35 lb-ft,,4.5 bar,6.45,4.63,1.029,47.4537,Valid,,Invalid
RD000054,M11087,SEN-023,2026-03-01 06:26:30,72 lb-ft,40 C,4.5 bar,7.63,2.44,1.014,97.61904,Valid,40.0,Valid
RD000055,M10420,SEN-003,2026-03-01 06:27:00,35 lb-ft,,4.5 bar,0.2,3.43,1.008,47.4537,Valid,,Invalid
RD000056,M9113,SEN-001,2026-03-01 06:27:30,50 Nm,35 C,72 psi,5.41,2.42,0.981,50.0,Valid,35.0,Valid
RD000057,M7246,SEN-003,2026-03-01 06:28:00,50 Nm,95 F,72 psi,7.32,2.64,1.002,50.0,Valid,35.0,Valid
RD000058,M9452,SEN-001,2026-03-01 06:28:30,60Nm,40 C,4.5 bar,8.19,4.01,0.997,60.0,Valid,40.0,Valid
RD000059,M11173,SEN-044,2026-03-01 06:29:00,50 Nm,40 C,65 psi,6.06,3.27,1.02,50.0,Valid,40.0,Valid
RD000060,M7169,SEN-010,2026-03-01 06:29:30,35 lb-ft,85C,72 psi,2.64,3.42,1.005,47.4537,Valid,85.0,Valid
RD000061,M8953,SEN-039,2026-03-01 06:30:00,60Nm,95 F,4.5 bar,5.93,7.7,0.976,60.0,Valid,35.0,Valid
RD000062,M8438,SEN-040,2026-03-01 06:30:30,60Nm,85C,4.5 bar,5.79,7.48,0.977,60.0,Valid,85.0,Valid
RD000063,M7419,SEN-010,2026-03-01 06:31:00,,35 C,4.5 bar,5.97,0.84,0.978,,Invalid,35.0,Valid
RD000064,M9086,SEN-041,2026-03-01 06:31:30,45 Nm,104 F,65 psi,7.79,5.85,0.982,45.0,Valid,40.0,Valid
RD000065,M7254,SEN-048,2026-03-01 06:32:00,,40 C,72 psi,7.51,0.77,0.977,,Invalid,40.0,Valid
RD000066,M10041,SEN-030,2026-03-01 06:32:30,,85C,5.2 bar,3.2,1.48,1.012,,Invalid,85.0,Valid
RD000067,M7665,SEN-032,2026-03-01 06:33:00,45 Nm,35 C,72 psi,2.2,2.52,0.992,45.0,Valid,35.0,Valid
RD000068,M9891,SEN-044,2026-03-01 06:33:30,60Nm,85C,65 psi,0.41,3.99,0.992,60.0,Valid,85.0,Valid
RD000069,M8385,SEN-021,2026-03-01 06:34:00,50 Nm,95 F,65 psi,6.24,2.07,1.003,50.0,Valid,35.0,Valid
RD000070,M7214,SEN-043,2026-03-01 06:34:30,60Nm,95 F,72 psi,6.79,7.89,0.993,60.0,Valid,35.0,Valid
RD000071,M7761,SEN-029,2026-03-01 06:35:00,72 lb-ft,85C,5.2 bar,7.78,0.82,1.028,97.61904,Valid,85.0,Valid
RD000072,M7709,SEN-048,2026-03-01 06:35:30,50 Nm,40 C,65 psi,0.79,6.35,1.01,50.0,Valid,40.0,Valid
RD000073,M7137,SEN-017,2026-03-01 06:36:00,45 Nm,85C,72 psi,8.24,6.99,1.006,45.0,Valid,85.0,Valid
RD000074,M9819,SEN-042,2026-03-01 06:36:30,35 lb-ft,40 C,5.2 bar,1.43,5.65,1.007,47.4537,Valid,40.0,Valid
RD000075,M7569,SEN-011,2026-03-01 06:37:00,45 Nm,85C,65 psi,2.78,5.99,0.975,45.0,Valid,85.0,Valid
RD000076,M8880,SEN-009,2026-03-01 06:37:30,45 Nm,,72 psi,7.36,3.44,1.013,45.0,Valid,,Invalid
RD000077,M9032,SEN-040,2026-03-01 06:38:00,45 Nm,85C,5.2 bar,0.68,2.66,1.012,45.0,Valid,85.0,Valid
RD000078,M9929,SEN-013,2026-03-01 06:38:30,50 Nm,40 C,65 psi,5.35,6.54,1.014,50.0,Valid,40.0,Valid
RD000079,M8524,SEN-027,2026-03-01 06:39:00,50 Nm,85C,72 psi,7.74,5.12,0.979,50.0,Valid,85.0,Valid
RD000080,M8992,SEN-003,2026-03-01 06:39:30,,35 C,65 psi,5.04,0.53,0.995,,Invalid,35.0,Valid
RD000081,M10563,SEN-028,2026-03-01 06:40:00,,104 F,72 psi,4.71,5.1,0.993,,Invalid,40.0,Valid
RD000082,M11688,SEN-034,2026-03-01 06:40:30,60Nm,35 C,72 psi,0.68,7.07,0.997,60.0,Valid,35.0,Valid
RD000083,M10991,SEN-048,2026-03-01 06:41:00,60Nm,104 F,72 psi,3.59,5.94,0.995,60.0,Valid,40.0,Valid
RD000084,M8302,SEN-032,2026-03-01 06:41:30,45 Nm,40 C,5.2 bar,1.64,4.45,0.997,45.0,Valid,40.0,Valid
RD000085,M7591,SEN-032,2026-03-01 06:42:00,45 Nm,,65 psi,4.88,6.17,1.018,45.0,Valid,,Invalid
RD000086,M9947,SEN-033,2026-03-01 06:42:30,50 Nm,35 C,4.5 bar,6.1,1.89,0.992,50.0,Valid,35.0,Valid
RD000087,M10210,SEN-012,2026-03-01 06:43:00,35 lb-ft,40 C,72 psi,3.1,0.67,1.027,47.4537,Valid,40.0,Valid
RD000088,M8386,SEN-045,2026-03-01 06:43:30,35 lb-ft,104 F,72 psi,7.7,5.56,0.982,47.4537,Valid,40.0,Valid
RD000089,M8861,SEN-008,2026-03-01 06:44:00,35 lb-ft,95 F,72 psi,3.68,3.21,1.017,47.4537,Valid,35.0,Valid
RD000090,M10771,SEN-031,2026-03-01 06:44:30,,40 C,72 psi,4.4,5.95,1.01,,Invalid,40.0,Valid
RD000091,M11532,SEN-039,2026-03-01 06:45:00,,95 F,4.5 bar,4.15,2.2,0.988,,Invalid,35.0,Valid
RD000092,M10659,SEN-041,2026-03-01 06:45:30,,85C,5.2 bar,2.81,5.01,0.98,,Invalid,85.0,Valid
RD000093,M8741,SEN-027,2026-03-01 06:46:00,35 lb-ft,40 C,5.2 bar,3.94,3.37,0.988,47.4537,Valid,40.0,Valid
RD000094,M8304,SEN-027,2026-03-01 06:46:30,60Nm,,4.5 bar,0.9,5.32,0.974,60.0,Valid,,Invalid
RD000095,M9742,SEN-022,2026-03-01 06:47:00,72 lb-ft,,4.5 bar,1.64,7.1,0.984,97.61904,Valid,,Invalid
RD000096,M7617,SEN-049,2026-03-01 06:47:30,,95 F,5.2 bar,4.77,7.04,0.99,,Invalid,35.0,Valid
RD000097,M7017,SEN-045,2026-03-01 06:48:00,72 lb-ft,85C,4.5 bar,0.49,4.08,0.979,97.61904,Valid,85.0,Valid
RD000098,M10877,SEN-036,2026-03-01 06:48:30,35 lb-ft,40 C,65 psi,5.24,6.91,0.972,47.4537,Valid,40.0,Valid
RD000099,M9840,SEN-001,2026-03-01 06:49:00,72 lb-ft,95 F,5.2 bar,7.69,2.73,1.013,97.61904,Valid,35.0,Valid
RD000100,M11381,SEN-034,2026-03-01 06:49:30,35 lb-ft,35 C,4.5 bar,8.34,3.01,1.002,47.4537,Valid,35.0,Valid
RD000101,M8149,SEN-050,2026-03-01 06:50:00,60Nm,,4.5 bar,4.23,4.39,0.992,60.0,Valid,,Invalid
RD000102,M8649,SEN-030,2026-03-01 06:50:30,,85C,4.5 bar,4.63,4.97,1.026,,Invalid,85.0,Valid
RD000103,M9466,SEN-032,2026-03-01 06:51:00,50 Nm,104 F,72 psi,2.51,2.18,1.017,50.0,Valid,40.0,Valid
RD000104,M11046,SEN-001,2026-03-01 06:51:30,60Nm,,72 psi,7.46,1.13,1.024,60.0,Valid,,Invalid
RD000105,M9650,SEN-045,2026-03-01 06:52:00,,40 C,72 psi,2.64,1.79,0.988,,Invalid,40.0,Valid
RD000106,M7830,SEN-022,2026-03-01 06:52:30,72 lb-ft,85C,4.5 bar,5.5,6.42,1.012,97.61904,Valid,85.0,Valid
RD000107,M8520,SEN-024,2026-03-01 06:53:00,45 Nm,85C,72 psi,5.13,0.58,1.026,45.0,Valid,85.0,Valid
RD000108,M10585,SEN-007,2026-03-01 06:53:30,45 Nm,,72 psi,2.7,0.97,1.017,45.0,Valid,,Invalid
RD000109,M11893,SEN-021,2026-03-01 06:54:00,,35 C,4.5 bar,2.22,1.12,0.978,,Invalid,35.0,Valid
RD000110,M8969,SEN-012,2026-03-01 06:54:30,,95 F,72 psi,6.17,4.74,0.993,,Invalid,35.0,Valid
RD000111,M11968,SEN-045,2026-03-01 06:55:00,72 lb-ft,95 F,4.5 bar,1.09,5.1,0.998,97.61904,Valid,35.0,Valid
RD000112,M9650,SEN-035,2026-03-01 06:55:30,45 Nm,85C,65 psi,4.51,1.89,1.001,45.0,Valid,85.0,Valid
RD000113,M7874,SEN-041,2026-03-01 06:56:00,45 Nm,40 C,72 psi,8.33,3.98,1.012,45.0,Valid,40.0,Valid
RD000114,M9389,SEN-007,2026-03-01 06:56:30,35 lb-ft,35 C,4.5 bar,3.49,7.47,0.983,47.4537,Valid,35.0,Valid
RD000115,M7503,SEN-044,2026-03-01 06:57:00,45 Nm,95 F,5.2 bar,2.92,0.84,1.013,45.0,Valid,35.0,Valid
RD000116,M11305,SEN-044,2026-03-01 06:57:30,45 Nm,35 C,65 psi,5.92,1.71,0.973,45.0,Valid,35.0,Valid
RD000117,M7445,SEN-018,2026-03-01 06:58:00,45 Nm,,65 psi,2.57,6.05,0.996,45.0,Valid,,Invalid
RD000118,M7775,SEN-008,2026-03-01 06:58:30,45 Nm,95 F,72 psi,6.26,6.75,1.022,45.0,Valid,35.0,Valid
RD000119,M10231,SEN-001,2026-03-01 06:59:00,72 lb-ft,85C,72 psi,7.3,1.75,0.975,97.61904,Valid,85.0,Valid
RD000120,M8409,SEN-002,2026-03-01 06:59:30,35 lb-ft,85C,72 psi,2.55,0.85,0.994,47.4537,Valid,85.0,Valid
RD000121,M7988,SEN-006,2026-03-01 07:00:00,45 Nm,104 F,72 psi,4.79,2.0,0.983,45.0,Valid,40.0,Valid
RD000122,M8005,SEN-043,2026-03-01 07:00:30,,,5.2 bar,3.11,4.3,0.984,,Invalid,,Invalid
RD000123,M10820,SEN-032,2026-03-01 07:01:00,50 Nm,,5.2 bar,5.01,3.94,0.975,50.0,Valid,,Invalid
RD000124,M9416,SEN-035,2026-03-01 07:01:30,35 lb-ft,,4.5 bar,6.44,7.41,1.024,47.4537,Valid,,Invalid
RD000125,M9668,SEN-037,2026-03-01 07:02:00,72 lb-ft,,5.2 bar,0.54,7.54,0.999,97.61904,Valid,,Invalid
RD000126,M9500,SEN-047,2026-03-01 07:02:30,35 lb-ft,104 F,5.2 bar,6.59,2.69,0.98,47.4537,Valid,40.0,Valid
RD000127,M10324,SEN-039,2026-03-01 07:03:00,45 Nm,35 C,4.5 bar,7.3,3.53,0.979,45.0,Valid,35.0,Valid
RD000128,M8441,SEN-003,2026-03-01 07:03:30,50 Nm,104 F,65 psi,2.92,2.79,1.009,50.0,Valid,40.0,Valid
RD000129,M9699,SEN-016,2026-03-01 07:04:00,45 Nm,85C,65 psi,7.07,0.59,0.972,45.0,Valid,85.0,Valid
RD000130,M7692,SEN-005,2026-03-01 07:04:30,,40 C,5.2 bar,1.41,7.58,0.98,,Invalid,40.0,Valid
RD000131,M11894,SEN-009,2026-03-01 07:05:00,35 lb-ft,40 C,65 psi,5.41,1.23,1.005,47.4537,Valid,40.0,Valid
RD000132,M7727,SEN-030,2026-03-01 07:05:30,35 lb-ft,35 C,65 psi,4.77,4.28,1.025,47.4537,Valid,35.0,Valid
RD000133,M7230,SEN-036,2026-03-01 07:06:00,60Nm,40 C,65 psi,3.18,7.38,1.022,60.0,Valid,40.0,Valid
RD000134,M8451,SEN-043,2026-03-01 07:06:30,50 Nm,104 F,65 psi,5.78,3.79,0.989,50.0,Valid,40.0,Valid
