Supplier_Code,Supplier_Name,Country
SUP1000,Supplier_1,China
SUP1001,Supplier_2,India
SUP1002,Supplier_3,India
SUP1003,Supplier_4,China
SUP1004,Supplier_5,Germany
SUP1005,Supplier_6,Japan
SUP1006,Supplier_7,Japan
SUP1007,Supplier_8,Japan
SUP1008,Supplier_9,China
SUP1009,Supplier_10,India
SUP1010,Supplier_11,China
SUP1011,Supplier_12,China
SUP1012,Supplier_13,Korea
SUP1013,Supplier_14,India
SUP1014,Supplier_15,Korea
SUP1015,Supplier_16,USA
SUP1016,Supplier_17,India
SUP1017,Supplier_18,India
SUP1018,Supplier_19,India
SUP1019,Supplier_20,Japan
SUP1020,Supplier_21,Japan
SUP1021,Supplier_22,Korea
SUP1022,Supplier_23,Korea
SUP1023,Supplier_24,India
SUP1024,Supplier_25,Korea
SUP1025,Supplier_26,Japan
SUP1026,Supplier_27,China
SUP1027,Supplier_28,China
SUP1028,Supplier_29,China
SUP1029,Supplier_30,Korea
SUP1030,Supplier_31,USA
SUP1031,Supplier_32,Japan
SUP1032,Supplier_33,USA
SUP1033,Supplier_34,Korea
SUP1034,Supplier_35,Germany
SUP1035,Supplier_36,Thailand
SUP1036,Supplier_37,Thailand
SUP1037,Supplier_38,India
SUP1038,Supplier_39,Thailand
SUP1039,Supplier_40,Thailand
SUP1040,Supplier_41,Japan
SUP1041,Supplier_42,China
SUP1042,Supplier_43,USA
SUP1043,Supplier_44,Germany
SUP1044,Supplier_45,Germany
SUP1045,Supplier_46,Japan
SUP1046,Supplier_47,Japan
SUP1047,Supplier_48,Thailand
SUP1048,Supplier_49,Germany
SUP1049,Supplier_50,India
SUP1050,Supplier_51,India
SUP1051,Supplier_52,USA
SUP1052,Supplier_53,India
SUP1053,Supplier_54,Germany
SUP1054,Supplier_55,Thailand
SUP1055,Supplier_56,Germany
SUP1056,Supplier_57,Korea
SUP1057,Supplier_58,Germany
SUP1058,Supplier_59,Thailand
SUP1059,Supplier_60,India
SUP1060,Supplier_61,China
SUP1061,Supplier_62,USA
SUP1062,Supplier_63,Korea
SUP1063,Supplier_64,India
SUP1064,Supplier_65,USA
SUP1065,Supplier_66,India
SUP1066,Supplier_67,Korea
SUP1067,Supplier_68,Germany
SUP1068,Supplier_69,Thailand
SUP1069,Supplier_70,China
SUP1070,Supplier_71,Korea
SUP1071,Supplier_72,Thailand
SUP1072,Supplier_73,Germany
SUP1073,Supplier_74,Korea
SUP1074,Supplier_75,Japan
SUP1075,Supplier_76,China
SUP1076,Supplier_77,India
SUP1077,Supplier_78,India
SUP1078,Supplier_79,China
SUP1079,Supplier_80,Japan
SUP1080,Supplier_81,Thailand
SUP1081,Supplier_82,Germany
SUP1082,Supplier_83,India
SUP1083,Supplier_84,Thailand
SUP1084,Supplier_85,Japan
SUP1085,Supplier_86,Thailand
SUP1086,Supplier_87,India
SUP1087,Supplier_88,USA
SUP1088,Supplier_89,Germany
SUP1089,Supplier_90,USA
SUP1090,Supplier_91,China
SUP1091,Supplier_92,Thailand
SUP1092,Supplier_93,Germany
SUP1093,Supplier_94,Japan
SUP1094,Supplier_95,Germany
SUP1095,Supplier_96,Germany
SUP1096,Supplier_97,Japan
SUP1097,Supplier_98,China
SUP1098,Supplier_99,Germany
SUP1099,Supplier_100,China
SUP1100,Supplier_101,China
SUP1101,Supplier_102,China
