Supplier_Code,Supplier_Name,City,State,Country,Supplier_Type,Quality_Rating,On_Time_Delivery_%,PPM_Defects,Contact_Email
SUP-001,Auto Supplier 1,Pune,Maharashtra,India,Tier-2,3.8,93,51,supplier1@autosupply.com
SUP-002,Auto Supplier 2,Chennai,Tamil Nadu,India,Tier-2,3.7,87,257,supplier2@autosupply.com
SUP-003,Auto Supplier 3,Bengaluru,Karnataka,India,Tier-1,3.2,88,499,supplier3@autosupply.com
SUP-004,Auto Supplier 4,Gurugram,Haryana,India,Tier-2,4.7,86,470,supplier4@autosupply.com
SUP-005,Auto Supplier 5,Mumbai,Maharashtra,India,Tier-3,3.1,93,417,supplier5@autosupply.com
SUP-006,Auto Supplier 6,Nagoya,Aichi,Japan,Tier-3,3.3,98,48,supplier6@autosupply.com
SUP-007,Auto Supplier 7,Seoul,Seoul,South Korea,Tier-3,3.8,86,482,supplier7@autosupply.com
SUP-008,Auto Supplier 8,Bangkok,Bangkok,Thailand,Tier-1,3.3,93,192,supplier8@autosupply.com
SUP-009,Auto Supplier 9,Detroit,Michigan,USA,Tier-3,4.9,88,220,supplier9@autosupply.com
SUP-010,Auto Supplier 10,Stuttgart,Baden-Württemberg,Germany,Tier-1,3.0,95,172,supplier10@autosupply.com
SUP-011,Auto Supplier 11,Pune,Maharashtra,India,Tier-2,4.4,93,313,supplier11@autosupply.com
SUP-012,Auto Supplier 12,Chennai,Tamil Nadu,India,Tier-3,3.1,96,476,supplier12@autosupply.com
SUP-013,Auto Supplier 13,Bengaluru,Karnataka,India,Tier-1,3.7,85,137,supplier13@autosupply.com
SUP-014,Auto Supplier 14,Gurugram,Haryana,India,Tier-2,4.4,98,160,supplier14@autosupply.com
SUP-015,Auto Supplier 15,Mumbai,Maharashtra,India,Tier-1,3.8,97,83,supplier15@autosupply.com
SUP-016,Auto Supplier 16,Nagoya,Aichi,Japan,Tier-3,3.9,87,296,supplier16@autosupply.com
SUP-017,Auto Supplier 17,Seoul,Seoul,South Korea,Tier-2,3.1,85,329,supplier17@autosupply.com
SUP-018,Auto Supplier 18,Bangkok,Bangkok,Thailand,Tier-3,4.3,94,172,supplier18@autosupply.com
