Tool_ID,Tool_Name,Tool_Type,Plant,Calibration_Date,Next_Due_Date,Status,Accuracy_%,Manufacturer,Serial_Number
TL-001,Tool_1,Welding Gun,Plant-A,2026-05-21,2026-08-19,Maintenance,98.97,Bosch,SN100000
TL-002,Tool_2,Nut Runner,Plant-A,2026-04-22,2026-07-21,Active,97.47,Bosch,SN100001
TL-003,Tool_3,Robot Arm,Plant-C,2026-02-25,2026-05-26,Active,97.36,Atlas Copco,SN100002
TL-004,Tool_4,Press Tool,Plant-A,2026-01-19,2026-04-19,Active,97.49,Bosch,SN100003
TL-005,Tool_5,Torque Wrench,Plant-C,2026-02-02,2026-05-03,Maintenance,99.68,Ingersoll Rand,SN100004
TL-006,Tool_6,Nut Runner,Plant-B,2026-01-25,2026-04-25,Maintenance,98.24,Ingersoll Rand,SN100005
TL-007,Tool_7,Nut Runner,Plant-B,2026-06-11,2026-09-09,Out of Service,95.88,Stanley,SN100006
TL-008,Tool_8,Welding Gun,Plant-A,2026-06-05,2026-09-03,Maintenance,95.49,Ingersoll Rand,SN100007
TL-009,Tool_9,Press Tool,Plant-C,2026-05-31,2026-08-29,Active,98.89,Bosch,SN100008
TL-010,Tool_10,Welding Gun,Plant-B,2026-02-07,2026-05-08,Maintenance,98.91,Atlas Copco,SN100009
TL-011,Tool_11,Welding Gun,Plant-B,2026-01-03,2026-04-03,Out of Service,99.43,Atlas Copco,SN100010
TL-012,Tool_12,Press Tool,Plant-B,2026-05-30,2026-08-28,Out of Service,98.02,Bosch,SN100011
TL-013,Tool_13,Nut Runner,Plant-B,2026-04-05,2026-07-04,Active,99.14,Bosch,SN100012
TL-014,Tool_14,Nut Runner,Plant-A,2026-02-27,2026-05-28,Maintenance,99.68,Stanley,SN100013
TL-015,Tool_15,Robot Arm,Plant-C,2026-05-26,2026-08-24,Out of Service,97.88,Atlas Copco,SN100014
TL-016,Tool_16,Robot Arm,Plant-B,2026-04-27,2026-07-26,Active,98.18,Atlas Copco,SN100015
TL-017,Tool_17,Torque Wrench,Plant-C,2026-01-08,2026-04-08,Maintenance,96.84,Atlas Copco,SN100016
TL-018,Tool_18,Robot Arm,Plant-B,2026-06-15,2026-09-13,Out of Service,95.48,Stanley,SN100017
TL-019,Tool_19,Torque Wrench,Plant-B,2026-05-30,2026-08-28,Active,96.08,Atlas Copco,SN100018
TL-020,Tool_20,Robot Arm,Plant-C,2026-06-24,2026-09-22,Active,99.27,Ingersoll Rand,SN100019
TL-021,Tool_21,Press Tool,Plant-C,2026-01-09,2026-04-09,Out of Service,95.18,Atlas Copco,SN100020
TL-022,Tool_22,Press Tool,Plant-C,2026-03-22,2026-06-20,Out of Service,95.43,Bosch,SN100021
TL-023,Tool_23,Welding Gun,Plant-A,2026-04-29,2026-07-28,Active,95.35,Bosch,SN100022
TL-024,Tool_24,Robot Arm,Plant-A,2026-02-23,2026-05-24,Active,96.19,Ingersoll Rand,SN100023
TL-025,Tool_25,Nut Runner,Plant-C,2026-02-19,2026-05-20,Out of Service,98.88,Atlas Copco,SN100024
TL-026,Tool_26,Robot Arm,Plant-A,2026-05-25,2026-08-23,Out of Service,99.11,Atlas Copco,SN100025
TL-027,Tool_27,Robot Arm,Plant-A,2026-03-13,2026-06-11,Active,95.63,Atlas Copco,SN100026
TL-028,Tool_28,Press Tool,Plant-C,2026-01-25,2026-04-25,Out of Service,97.87,Ingersoll Rand,SN100027
TL-029,Tool_29,Press Tool,Plant-C,2026-04-30,2026-07-29,Maintenance,98.95,Stanley,SN100028
TL-030,Tool_30,Nut Runner,Plant-A,2026-02-18,2026-05-19,Out of Service,97.07,Ingersoll Rand,SN100029
TL-031,Tool_31,Nut Runner,Plant-A,2026-01-31,2026-05-01,Active,97.01,Atlas Copco,SN100030
TL-032,Tool_32,Press Tool,Plant-A,2026-03-27,2026-06-25,Maintenance,97.67,Bosch,SN100031
TL-033,Tool_33,Welding Gun,Plant-C,2026-02-25,2026-05-26,Active,97.63,Bosch,SN100032
TL-034,Tool_34,Torque Wrench,Plant-A,2026-06-25,2026-09-23,Out of Service,99.85,Stanley,SN100033
TL-035,Tool_35,Torque Wrench,Plant-A,2026-04-06,2026-07-05,Active,95.1,Atlas Copco,SN100034
TL-036,Tool_36,Nut Runner,Plant-B,2026-02-08,2026-05-09,Active,95.2,Stanley,SN100035
