Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,Machine_ID,Breakdown,Operating_Time_Minutes,Repair_Time_Minutes,Failure_Code,Planned_Time_Minutes,Run_Time_Minutes,Ideal_Cycle_Time,Total_Units,Reject_Units,Good_Units,Downtime_Minutes
M7000,XX1 2 3 4,WO10000,Hatch Z,GA-1,STN-01,2026/03/01 06:70, eng-1001 ,,EMP240,TL-032,B,MC-101,Yes,434,62,F001,480,428,1.0,594,12,582,52
M7001,MA1AB100000000001,WO10001,Sedan X,GA-1, stn-05 ,2026-03-01 06:01,ENG-1379,SUP-140,EMP144,TL-076,,MC-101,No,466,0,,480,456,0.95,567,5,562,24
M7002,MA1AB100000000002,WO10002,Sedan X,GA-1,STN-01,2026-03-01 06:02,ENG-1111,SUP-060,EMP358,TL-078,A,MC-103,No,445,0,,480,474,1.18,591,8,583,6
M7003,MA1AB100000000003,WO10003,Hatch Z,GA-2, stn-05 ,2026-03-01 06:03,ENG-1332,SUP-180,EMP379,TL-054,B,MC-102,No,453,0,,480,471,0.9,540,14,526,9
M7004,MA1AB100000000004,WO10004,SUV Pro,PAINT-1,Stn-03,2026-03-01 06:05,ENG-1445,SUP-002,EMP181,TL-090,,MC-102,No,458,0,,480,468,0.91,583,12,571,12
M7005,MA1AB100000000005,WO10005,SUV Pro,PAINT-1,STN-02,2026-03-01 06:06,ENG-1110,SUP-196,EMP272,TL-014,A,MC-102,Yes,469,37,F004,480,424,0.81,455,10,445,56
M7006,MA1AB100000000006,WO10006,SUV Pro,GA-1,STN-03,2026-03-01 06:07,ENG-1433,SUP-089,EMP235,TL-006,,MC-101,No,432,0,,480,436,0.83,505,4,501,44
M7007,MA1AB100000000007,WO10007,Hatch Z,GA-1,STN-04,2026-03-01 06:08,ENG-1040,SUP-142,EMP250,TL-081,C,MC-105,No,479,0,,480,427,1.05,478,11,467,53
M7008,MA1AB100000000008,WO10008,Hatch Z,GA-2, stn-05 ,2026-03-01 06:10,ENG-1035,SUP-012,EMP216,TL-099,C,MC-101,No,438,0,,480,451,1.07,545,2,543,29
M7009,MA1AB100000000009,WO10009,Sedan X,GA-2,Stn-03,2026-03-01 06:11,ENG-1051,SUP-098,EMP242,TL-059,C,MC-105,No,470,0,,480,468,0.89,460,4,456,12
M7010,MA1AB100000000010,WO10010,Sedan X,PAINT-1,STN-03,2026-03-01 06:12,ENG-1107,SUP-172,EMP236,TL-090,A,MC-104,No,453,0,,480,448,1.1,564,0,564,32
M7011,MA1AB100000000011,WO10011,Hatch Z,GA-2,STN-05,2026-03-01 06:13,ENG-1373,SUP-063,EMP183,TL-060,,MC-101,No,459,0,,480,450,0.87,466,3,463,30
M7012,MA1AB100000000012,WO10012,SUV Pro,GA-2, stn-05 ,2026-03-01 06:15,ENG-1166,SUP-197,EMP128,TL-030,A,MC-101,No,422,0,,480,461,0.95,533,7,526,19
M7013,MA1AB100000000013,WO10013,SUV Pro,TRIM-1,STN-03,2026-03-01 06:16,ENG-1033,SUP-055,EMP390,TL-092,C,MC-101,No,461,0,,480,444,1.05,474,8,466,36
M7014,MA1AB100000000014,WO10014,Sedan X,TRIM-1,STN-04,2026-03-01 06:17,ENG-1452,SUP-165,EMP334,TL-019,C,MC-102,Yes,430,26,F003,480,470,1.11,473,9,464,10
M7015,MA1AB100000000015,WO10015,Sedan X,GA-2, stn-05 ,2026-03-01 06:18,ENG-1287,SUP-138,EMP234,TL-096,,MC-102,No,442,0,,480,433,0.98,582,6,576,47
M7016,MA1AB100000000016,WO10016,Hatch Z,TRIM-1,STN-03,2026-03-01 06:20,ENG-1112,SUP-036,EMP360,TL-064,A,MC-105,No,445,0,,480,426,1.12,543,0,543,54
M7017,MA1AB100000000017,WO10017,Sedan X,GA-1,STN-02,2026-03-01 06:21,ENG-1321,SUP-041,EMP316,TL-077,A,MC-105,No,453,0,,480,451,0.99,508,0,508,29
M7018,MA1AB100000000018,WO10018,SUV Pro,TRIM-1,STN-05,2026-03-01 06:22,ENG-1239,SUP-136,EMP228,TL-071,A,MC-101,Yes,465,23,F001,480,421,1.07,473,12,461,59
