Work_Order,VIN,Model,Production_Date,Planned_Qty,Actual_Qty,Status,Priority,Plant,Supervisor_ID
WO10000,MA1AB100000000000,EV Prime,2026-03-01,140,127,Delayed,Low,Plant-B,SUPV009
WO10001,MA1AB100000000001,EV Prime,2026-03-02,181,178,Planned,Medium,Plant-C,SUPV001
WO10002,MA1AB100000000002,Hatch Z,2026-03-03,76,61,Delayed,Low,Plant-C,SUPV001
WO10003,MA1AB100000000003,EV Prime,2026-03-04,130,133,In Progress,High,Plant-C,SUPV017
WO10004,MA1AB100000000004,SUV Pro,2026-03-05,141,140,Planned,Low,Plant-B,SUPV023
WO10005,MA1AB100000000005,Hatch Z,2026-03-06,140,144,In Progress,High,Plant-C,SUPV002
WO10006,MA1AB100000000006,Sedan X,2026-03-07,82,77,Completed,Low,Plant-B,SUPV017
WO10007,MA1AB100000000007,Sedan X,2026-03-08,188,181,In Progress,Low,Plant-B,SUPV007
WO10008,MA1AB100000000008,Sedan X,2026-03-09,170,178,Delayed,Low,Plant-B,SUPV022
WO10009,MA1AB100000000009,SUV Pro,2026-03-10,123,132,Completed,Medium,Plant-C,SUPV019
WO10010,MA1AB100000000010,Hatch Z,2026-03-11,60,60,Delayed,Medium,Plant-C,SUPV017
WO10011,MA1AB100000000011,Sedan X,2026-03-12,106,110,In Progress,Medium,Plant-B,SUPV009
WO10012,MA1AB100000000012,EV Prime,2026-03-13,192,181,Planned,High,Plant-C,SUPV021
WO10013,MA1AB100000000013,Hatch Z,2026-03-14,71,58,Delayed,Medium,Plant-B,SUPV025
WO10014,MA1AB100000000014,Hatch Z,2026-03-15,58,62,Delayed,Low,Plant-C,SUPV011
WO10015,MA1AB100000000015,SUV Pro,2026-03-16,55,58,In Progress,Medium,Plant-B,SUPV023
WO10016,MA1AB100000000016,EV Prime,2026-03-17,97,87,In Progress,High,Plant-A,SUPV005
WO10017,MA1AB100000000017,EV Prime,2026-03-18,195,191,Planned,Medium,Plant-B,SUPV001
WO10018,MA1AB100000000018,Sedan X,2026-03-19,81,79,Completed,High,Plant-B,SUPV002
WO10019,MA1AB100000000019,EV Prime,2026-03-20,85,75,In Progress,Medium,Plant-C,SUPV015
WO10020,MA1AB100000000020,Sedan X,2026-03-21,194,197,Planned,High,Plant-A,SUPV018
WO10021,MA1AB100000000021,Sedan X,2026-03-22,136,141,In Progress,Low,Plant-A,SUPV013
